"Date","55_AGG_IrrigDemand","55_AGG_IrrigSupply","55_AGG_IrrigShortage","55_AGG_IrrigSupDirectFlow","55_AGG_MunDemand","55_AGG_MunSupply","55_AGG_MunShortage","55_ADY024_IrrigDemand","55_ADY026_IrrigDemand","55_ADY024_IrrigSupply","55_ADY026_IrrigSupply","55_ADY024_IrrigShortage","55_ADY026_IrrigShortage","55_ADY024_IrrigSupDirectFlow","55_ADY026_IrrigSupDirectFlow"
"1984-01",5,5,0,5,NA,NA,NA,0,5,0,5,0,0,0,5
"1984-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1984-03",20,20,0,20,NA,NA,NA,0,20,0,20,0,0,0,20
"1984-04",53,53,0,53,NA,NA,NA,8,45,8,45,0,0,8,45
"1984-05",471,256.2747,214.7253,256.2747,NA,NA,NA,350,121,135.2747,121,214.7253,0,135.2747,121
"1984-06",301,198.911,102.089,198.911,NA,NA,NA,233,68,130.911,68,102.089,0,130.911,68
"1984-07",171,171,0,171,NA,NA,NA,132,39,132,39,0,0,132,39
"1984-08",141,141,0,141,NA,NA,NA,112,29,112,29,0,0,112,29
"1984-09",68,69.5,0,68,NA,NA,NA,25,43,26.5,43,0,0,25,43
"1984-10",19,19,0,19,NA,NA,NA,3,16,3,16,0,0,3,16
"1984-11",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1984-12",4,4,0,4,NA,NA,NA,0,4,0,4,0,0,0,4
"1985-01",5,5,0,5,NA,NA,NA,0,5,0,5,0,0,0,5
"1985-02",3,3,0,3,NA,NA,NA,0,3,0,3,0,0,0,3
"1985-03",12,12,0,12,NA,NA,NA,0,12,0,12,0,0,0,12
"1985-04",68,68,0,68,NA,NA,NA,25,43,25,43,0,0,25,43
"1985-05",475,235.2747,239.7253,235.2747,NA,NA,NA,375,100,135.2747,100,239.7253,0,135.2747,100
"1985-06",300,197.911,102.089,197.911,NA,NA,NA,233,67,130.911,67,102.089,0,130.911,67
"1985-07",238,173.2747,64.7253,173.2747,NA,NA,NA,200,38,135.2747,38,64.7253,0,135.2747,38
"1985-08",187,178.2747,8.7253,178.2747,NA,NA,NA,144,43,135.2747,43,8.7253,0,135.2747,43
"1985-09",52,53.42,0,52,NA,NA,NA,27,25,28.42,25,0,0,27,25
"1985-10",15,15,0,15,NA,NA,NA,3,12,3,12,0,0,3,12
"1985-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1985-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1986-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1986-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1986-03",58,58,0,58,NA,NA,NA,0,58,0,58,0,0,0,58
"1986-04",60,60,0,60,NA,NA,NA,0,60,0,60,0,0,0,60
"1986-05",375,235.2747,139.7253,235.2747,NA,NA,NA,275,100,135.2747,100,139.7253,0,135.2747,100
"1986-06",356,197.911,158.089,197.911,NA,NA,NA,289,67,130.911,67,158.089,0,130.911,67
"1986-07",255,196.2747,58.7253,196.2747,NA,NA,NA,194,61,135.2747,61,58.7253,0,135.2747,61
"1986-08",177,177,0,177,NA,NA,NA,116,61,116,61,0,0,116,61
"1986-09",82,83.12,0,82,NA,NA,NA,22,60,23.12,60,0,0,22,60
"1986-10",66,66,0,66,NA,NA,NA,6,60,6,60,0,0,6,60
"1986-11",30,30,0,30,NA,NA,NA,0,30,0,30,0,0,0,30
"1986-12",31,31,0,31,NA,NA,NA,0,31,0,31,0,0,0,31
"1987-01",31,31,0,31,NA,NA,NA,0,31,0,31,0,0,0,31
"1987-02",28,28,0,28,NA,NA,NA,0,28,0,28,0,0,0,28
"1987-03",31,31,0,31,NA,NA,NA,0,31,0,31,0,0,0,31
"1987-04",113,113,0,113,NA,NA,NA,83,30,83,30,0,0,83,30
"1987-05",775,335.2747,439.7253,335.2747,NA,NA,NA,575,200,135.2747,200,439.7253,0,135.2747,200
"1987-06",444,230.911,213.089,230.911,NA,NA,NA,344,100,130.911,100,213.089,0,130.911,100
"1987-07",284,173.2747,110.7253,173.2747,NA,NA,NA,246,38,135.2747,38,110.7253,0,135.2747,38
"1987-08",289,178.2747,110.7253,178.2747,NA,NA,NA,246,43,135.2747,43,110.7253,0,135.2747,43
"1987-09",288,180.911,107.089,180.911,NA,NA,NA,238,50,130.911,50,107.089,0,130.911,50
"1987-10",277,166.2747,110.7253,166.2747,NA,NA,NA,246,31,135.2747,31,110.7253,0,135.2747,31
"1987-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1987-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1988-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1988-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1988-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1988-04",89,89,0,89,NA,NA,NA,67,22,67,22,0,0,67,22
"1988-05",750,335.2747,414.7253,335.2747,NA,NA,NA,550,200,135.2747,200,414.7253,0,135.2747,200
"1988-06",544,230.911,313.089,230.911,NA,NA,NA,444,100,130.911,100,313.089,0,130.911,100
"1988-07",344,185.2747,158.7253,185.2747,NA,NA,NA,294,50,135.2747,50,158.7253,0,135.2747,50
"1988-08",289,178.2747,110.7253,178.2747,NA,NA,NA,246,43,135.2747,43,110.7253,0,135.2747,43
"1988-09",263,155.911,107.089,155.911,NA,NA,NA,238,25,130.911,25,107.089,0,130.911,25
"1988-10",296,185.2747,110.7253,185.2747,NA,NA,NA,246,50,135.2747,50,110.7253,0,135.2747,50
"1988-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1988-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1989-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1989-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1989-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1989-04",175,175,0,175,NA,NA,NA,100,75,100,75,0,0,100,75
"1989-05",675,335.2747,339.7253,335.2747,NA,NA,NA,475,200,135.2747,200,339.7253,0,135.2747,200
"1989-06",407,215.911,191.089,215.911,NA,NA,NA,322,85,130.911,85,191.089,0,130.911,85
"1989-07",307,173.2747,133.7253,173.2747,NA,NA,NA,269,38,135.2747,38,133.7253,0,135.2747,38
"1989-08",199,178.2747,20.7253,178.2747,NA,NA,NA,156,43,135.2747,43,20.7253,0,135.2747,43
"1989-09",87,89.02,0,87,NA,NA,NA,37,50,39.02,50,0,0,37,50
"1989-10",85,85,0,85,NA,NA,NA,35,50,35,50,0,0,35,50
"1989-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1989-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1990-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1990-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1990-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1990-04",150,150,0,150,NA,NA,NA,75,75,75,75,0,0,75,75
"1990-05",700.0001,335.2747,364.7253,335.2747,NA,NA,NA,500.0001,200,135.2747,200,364.7253,0,135.2747,200
"1990-06",418,215.911,202.089,215.911,NA,NA,NA,333,85,130.911,85,202.089,0,130.911,85
"1990-07",301,173.2747,127.7253,173.2747,NA,NA,NA,263,38,135.2747,38,127.7253,0,135.2747,38
"1990-08",203,178.2747,24.7253,178.2747,NA,NA,NA,160,43,135.2747,43,24.7253,0,135.2747,43
"1990-09",100,103,0,100,NA,NA,NA,50,50,53,50,0,0,50,50
"1990-10",73,73,0,73,NA,NA,NA,23,50,23,50,0,0,23,50
"1990-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1990-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1991-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1991-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1991-03",42,42,0,42,NA,NA,NA,0,42,0,42,0,0,0,42
"1991-04",126,126,0,126,NA,NA,NA,17,109,17,109,0,0,17,109
"1991-05",675,335.2747,339.7253,335.2747,NA,NA,NA,475,200,135.2747,200,339.7253,0,135.2747,200
"1991-06",391,209.911,181.089,209.911,NA,NA,NA,312,79,130.911,79,181.089,0,130.911,79
"1991-07",534,160.2747,373.7253,160.2747,NA,NA,NA,509,25,135.2747,25,373.7253,0,135.2747,25
"1991-08",376,178.2747,197.7253,178.2747,NA,NA,NA,333,43,135.2747,43,197.7253,0,135.2747,43
"1991-09",90,92.4,0,90,NA,NA,NA,40,50,42.4,50,0,0,40,50
"1991-10",23,23,0,23,NA,NA,NA,19,4,19,4,0,0,19,4
"1991-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1991-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1992-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1992-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1992-03",14,14,0,14,NA,NA,NA,0,14,0,14,0,0,0,14
"1992-04",277,277,0,277,NA,NA,NA,108,169,108,169,0,0,108,169
"1992-05",905.0001,334.2747,570.7253,334.2747,NA,NA,NA,706.0001,199,135.2747,199,570.7253,0,135.2747,199
"1992-06",510,275.911,234.089,275.911,NA,NA,NA,365,145,130.911,145,234.089,0,130.911,145
"1992-07",587.9999,160.2747,427.7253,160.2747,NA,NA,NA,562.9999,25,135.2747,25,427.7253,0,135.2747,25
"1992-08",179,178.2747,0.7253,178.2747,NA,NA,NA,136,43,135.2747,43,0.7253,0,135.2747,43
"1992-09",85,87.1,0,85,NA,NA,NA,35,50,37.1,50,0,0,35,50
"1992-10",73,73,0,73,NA,NA,NA,23,50,23,50,0,0,23,50
"1992-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1992-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1993-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1993-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1993-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1993-04",177,177,0,177,NA,NA,NA,8,169,8,169,0,0,8,169
"1993-05",530,292.2747,237.7253,292.2747,NA,NA,NA,373,157,135.2747,157,237.7253,0,135.2747,157
"1993-06",416,268.911,147.089,268.911,NA,NA,NA,278,138,130.911,138,147.089,0,130.911,138
"1993-07",342,160.2747,181.7253,160.2747,NA,NA,NA,317,25,135.2747,25,181.7253,0,135.2747,25
"1993-08",346,164.2747,181.7253,164.2747,NA,NA,NA,317,29,135.2747,29,181.7253,0,135.2747,29
"1993-09",231,155.911,75.089,155.911,NA,NA,NA,206,25,130.911,25,75.089,0,130.911,25
"1993-10",16,16,0,16,NA,NA,NA,6,10,6,10,0,0,6,10
"1993-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1993-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1994-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1994-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1994-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1994-04",255,234.911,20.089,234.911,NA,NA,NA,151,104,130.911,104,20.089,0,130.911,104
"1994-05",771,366.2747,404.7253,366.2747,NA,NA,NA,540,231,135.2747,231,404.7253,0,135.2747,231
"1994-06",511,230.911,280.089,230.911,NA,NA,NA,411,100,130.911,100,280.089,0,130.911,100
"1994-07",238,173.2747,64.7253,173.2747,NA,NA,NA,200,38,135.2747,38,64.7253,0,135.2747,38
"1994-08",199,178.2747,20.7253,178.2747,NA,NA,NA,156,43,135.2747,43,20.7253,0,135.2747,43
"1994-09",83,85.18,0,83,NA,NA,NA,33,50,35.18,50,0,0,33,50
"1994-10",13,13,0,13,NA,NA,NA,3,10,3,10,0,0,3,10
"1994-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1994-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1995-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1995-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1995-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1995-04",79,79,0,79,NA,NA,NA,0,79,0,79,0,0,0,79
"1995-05",417,258.2747,158.7253,258.2747,NA,NA,NA,294,123,135.2747,123,158.7253,0,135.2747,123
"1995-06",368,197.911,170.089,197.911,NA,NA,NA,301,67,130.911,67,170.089,0,130.911,67
"1995-07",379,173.2747,205.7253,173.2747,NA,NA,NA,341,38,135.2747,38,205.7253,0,135.2747,38
