"Date","70_AGG_IrrigDemand","70_AGG_IrrigSupply","70_AGG_IrrigShortage","70_AGG_IrrigSupDirectFlow","70_AGG_MunDemand","70_AGG_MunSupply","70_AGG_MunShortage","70_ADC049_IrrigDemand","70_ADC049_IrrigDemand_1","70_ADC050_IrrigDemand","70_ADC050_IrrigDemand_1","70_ADC049_IrrigSupply","70_ADC049_IrrigSupply_1","70_ADC050_IrrigSupply","70_ADC050_IrrigSupply_1","70_ADC049_IrrigShortage","70_ADC049_IrrigShortage_1","70_ADC050_IrrigShortage","70_ADC050_IrrigShortage_1","70_ADC049_IrrigSupDirectFlow","70_ADC049_IrrigSupDirectFlow_1","70_ADC050_IrrigSupDirectFlow","70_ADC050_IrrigSupDirectFlow_1","7000583_D_IrrigDemand","7000583_D_IrrigDemand_1","7000583_D_IrrigSupply","7000583_D_IrrigSupply_1","7000583_D_IrrigShortage","7000583_D_IrrigShortage_1","7000583_D_IrrigSupDirectFlow","7000583_D_IrrigSupDirectFlow_1"
"1978-06",27295.9983,27254.4402,41.7904,26664.2092,NA,NA,NA,5063.9995,5063.9995,1170,1170,5053.5522,5053.5522,1170.0577,1170.0577,10.4476,10.4476,0,0,5053.5522,5053.5522,1170,1170,590.0001,590.0001,590.0001,590.0001,0,0,590.0001,590.0001
"1978-07",16177.9998,13223.5254,6464.7681,12150.8084,NA,NA,NA,1796,3455,852,852,1838.808,1838.808,900.0734,900.0734,1616.192,1616.192,0,0,1760.4521,1760.4521,852,852,566.9999,566.9999,566.9999,566.9999,0,0,566.9999,566.9999
"1978-08",8267.1333,9539.7542,2168.4253,7787.3362,NA,NA,NA,1133.5667,808,622,622,1253.8937,1253.8937,657.0449,657.0449,542.1063,542.1063,0,0,969.334,969.334,622,622,474,474,474,474,0,0,474,474
"1978-09",8364.0001,5242.9762,3121.109,4145.3206,NA,NA,NA,1213,1213,396,396,438.6828,438.6828,396.0213,396.0213,774.3173,774.3173,0,0,283.3001,283.3001,396,396,482,482,476.04,476.04,5.96,5.96,476.04,476.04
"1978-10",6348,4705.4788,1642.5273,4231.4727,NA,NA,NA,833,833,280,280,422.3682,422.3682,280.0015,280.0015,410.6318,410.6318,0,0,422.3682,422.3682,280,280,474,474,474,474,0,0,474,474
"1978-11",2948,2948,0,2850,NA,NA,NA,523,523,116,116,523,523,116,116,0,0,0,0,523,523,116,116,98,98,98,98,0,0,98,98
"1978-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979-04",2588,2588.0051,0,2505,NA,NA,NA,242,242,322,322,242,242,322.0013,322.0013,0,0,0,0,242,242,322,322,83,83,83,83,0,0,83,83
"1979-05",15851.999,15852.0515,0,15651.999,NA,NA,NA,2865.9998,2865.9998,897,897,2865.9998,2865.9998,897.0131,897.0131,0,0,0,0,2865.9998,2865.9998,897,897,200,200,200,200,0,0,200,200
"1979-06",27632,27632.2095,0,27112,NA,NA,NA,5362,5362,1026,1026,5362,5362,1026.0524,1026.0524,0,0,0,0,5362,5362,1026,1026,520,520,520,520,0,0,520,520
"1979-07",25916.0017,21391.6968,4722.2617,20630.7391,NA,NA,NA,5039.0005,5039.0005,877,877,3858.4348,3858.4348,926.4894,926.4894,1180.5654,1180.5654,0,0,3858.4348,3858.4348,877,877,562.9999,562.9999,562.9999,562.9999,0,0,562.9999,562.9999
"1979-08",21696.001,12408.0571,9288.0967,11952.9028,NA,NA,NA,4056.0002,4056.0002,913,913,1733.9757,1733.9757,913.0386,913.0386,2322.0242,2322.0242,0,0,1733.9757,1733.9757,913,913,455,455,455,455,0,0,455,455
"1979-09",17896,10542.239,7353.896,9934.1045,NA,NA,NA,3338,3338,528,528,1499.5261,1499.5261,528.0336,528.0336,1838.474,1838.474,0,0,1499.5261,1499.5261,528,528,608,608,608,608,0,0,608,608
"1979-10",17628,10289.6704,7338.373,9789.6274,NA,NA,NA,3067,3067,839.9999,839.9999,1232.4069,1232.4069,840.0107,840.0107,1834.5933,1834.5933,0,0,1232.4069,1232.4069,839.9999,839.9999,500.0001,500.0001,500.0001,500.0001,0,0,500.0001,500.0001
"1979-11",3158,5352,0,5278,NA,NA,NA,1097,0,167,167,1097,1097,167,167,0,0,0,0,1097,1097,167,167,74,74,74,74,0,0,74,74
"1979-12",88,88,0,88,NA,NA,NA,0,0,22,22,0,0,22,22,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0
"1980-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980-04",1747.9999,1748.0041,0,1672.9999,NA,NA,NA,217,217,145,145,217,217,145.001,145.001,0,0,0,0,217,217,145,145,75,75,75,75,0,0,75,75
"1980-05",16284.0001,16284.0543,0,16076,NA,NA,NA,2744,2744,1119,1119,2744,2744,1119.0135,1119.0135,0,0,0,0,2744,2744,1119,1119,208,208,208,208,0,0,208,208
"1980-06",21435.9998,21436.2229,0,20862.9998,NA,NA,NA,3939,3939,846.9999,846.9999,3939,3939,847.0557,847.0557,0,0,0,0,3939,3939,846.9999,846.9999,573,573,573,573,0,0,573,573
"1980-07",22320,22322.5134,0,21715,NA,NA,NA,4065,4065,910,910,4065,4065,910.6284,910.6284,0,0,0,0,4065,4065,910,910,605,605,605,605,0,0,605,605
"1980-08",19923.999,14127.5706,5796.6006,13527.3984,NA,NA,NA,3708.9998,3708.9998,672,672,2259.8496,2259.8496,672.043,672.043,1449.1501,1449.1501,0,0,2259.8496,2259.8496,672,672,600,600,600,600,0,0,600,600
"1980-09",17135.999,10725.6849,6410.4287,10210.5713,NA,NA,NA,3294.9998,3294.9998,474,474,1692.3928,1692.3928,474.0284,474.0284,1602.6072,1602.6072,0,0,1692.3928,1692.3928,474,474,515,515,515,515,0,0,515,515
"1980-10",11476,8111.3265,3364.6938,7891.3066,NA,NA,NA,2259,2259,390,390,1417.8267,1417.8267,390.005,390.005,841.1735,841.1735,0,0,1417.8267,1417.8267,390,390,220,220,220,220,0,0,220,220
"1980-11",4800,4800,0,4757,NA,NA,NA,1082,1082,75,75,1082,1082,75,75,0,0,0,0,1082,1082,75,75,43,43,43,43,0,0,43,43
"1980-12",536,536,0,505,NA,NA,NA,82,82,21,21,82,82,21,21,0,0,0,0,82,82,21,21,31,31,31,31,0,0,31,31
"1981-01",1816,492,0,461,NA,NA,NA,662,0,92,92,0,0,92,92,0,0,0,0,0,0,92,92,31,31,31,31,0,0,31,31
"1981-02",444,444,0,416,NA,NA,NA,0,0,83,83,0,0,83,83,0,0,0,0,0,0,83,83,28,28,28,28,0,0,28,28
"1981-03",1012,1012,0,993,NA,NA,NA,91,91,143,143,91,91,143,143,0,0,0,0,91,91,143,143,19,19,19,19,0,0,19,19
"1981-04",11668.0005,9856.2505,1811.8018,9564.1982,NA,NA,NA,1833.0001,1833.0001,792,792,1380.0496,1380.0496,792.0131,792.0131,452.9504,452.9504,0,0,1380.0496,1380.0496,792,792,292,292,292,292,0,0,292,292
"1981-05",9972,9288.9712,683.095,9042.9048,NA,NA,NA,1720,1720,527,527,1549.2262,1549.2262,527.0166,527.0166,170.7738,170.7738,0,0,1549.2262,1549.2262,527,527,246,246,246,246,0,0,246,246
"1981-06",18564.0002,10446.399,8283.3069,8897.8012,NA,NA,NA,3368,3368,728,728,1366.1333,1366.1333,769.4265,769.4265,2001.8667,2001.8667,0,0,1139.4203,1139.4203,728,728,545.0001,545.0001,476.04,476.04,68.96,68.96,476.04,476.04
"1981-07",13032,7640.9492,5547.0913,5835.5691,NA,NA,NA,2083,2083,692,692,696.2273,696.2273,731.01,731.01,1386.7728,1386.7728,0,0,404.6423,404.6423,692,692,483,483,483,483,0,0,483,483
"1981-08",9991.9993,4115.4899,5992.3674,3507.724,NA,NA,NA,1470.9999,1470.9999,508,508,0,0,536.9645,536.9645,1470.9999,1470.9999,0,0,0,0,508,508,518.9999,518.9999,491.908,491.908,27.092,27.092,491.908,491.908
"1981-09",7274.2581,3736.1559,6307.9567,3260.0032,NA,NA,NA,1561,176.129,442,442,15.9708,15.9708,442.0281,442.0281,1545.0292,1545.0292,0,0,15.9708,15.9708,442,442,508,508,476.04,476.04,31.96,31.96,476.04,476.04
"1981-10",4031.9998,3789.8069,242.1931,3593.8069,NA,NA,NA,653.9999,653.9999,158,158,593.4517,593.4517,158,158,60.5483,60.5483,0,0,593.4517,593.4517,158,158,196,196,196,196,0,0,196,196
"1981-11",2928,2928,0,2808,NA,NA,NA,502,502,110,110,502,502,110,110,0,0,0,0,502,502,110,110,120,120,120,120,0,0,120,120
"1981-12",2114,1407.9999,0,1283.9999,NA,NA,NA,535,182,46,46,182,182,46,46,0,0,0,0,182,182,46,46,124,124,124,124,0,0,124,124
