"Date","53_AGG_IrrigDemand","53_AGG_IrrigSupply","53_AGG_IrrigShortage","53_AGG_IrrigSupDirectFlow","53_AGG_MunDemand","53_AGG_MunSupply","53_AGG_MunShortage","5300555_D_IrrigDemand","5300555_D_IrrigSupply","5300555_D_IrrigSupply_1","5300555_D_IrrigShortage","5300555_D_IrrigShortage_1","5300555_D_IrrigSupDirectFlow","5300555_D_IrrigSupDirectFlow_1","53_ADC022_IrrigDemand","53_ADC022_IrrigDemand_1","53_ADC023_IrrigDemand","53_ADC023_IrrigDemand_1","53_ADC024_IrrigDemand","53_ADC024_IrrigDemand_1","53_ADC025_IrrigDemand","53_ADC025_IrrigDemand_1","53_ADC026_IrrigDemand","53_ADC026_IrrigDemand_1","53_ADC028_IrrigDemand","53_ADC028_IrrigDemand_1","53_ADC032_IrrigDemand","53_ADC022_IrrigSupply","53_ADC022_IrrigSupply_1","53_ADC023_IrrigSupply","53_ADC023_IrrigSupply_1","53_ADC024_IrrigSupply","53_ADC024_IrrigSupply_1","53_ADC025_IrrigSupply","53_ADC025_IrrigSupply_1","53_ADC026_IrrigSupply","53_ADC026_IrrigSupply_1","53_ADC028_IrrigSupply","53_ADC028_IrrigSupply_1","53_ADC032_IrrigSupply","53_ADC032_IrrigSupply_1","53_ADC022_IrrigShortage","53_ADC022_IrrigShortage_1","53_ADC023_IrrigShortage","53_ADC023_IrrigShortage_1","53_ADC024_IrrigShortage","53_ADC024_IrrigShortage_1","53_ADC025_IrrigShortage","53_ADC025_IrrigShortage_1","53_ADC026_IrrigShortage","53_ADC026_IrrigShortage_1","53_ADC028_IrrigShortage","53_ADC028_IrrigShortage_1","53_ADC032_IrrigShortage","53_ADC032_IrrigShortage_1","53_ADC022_IrrigSupDirectFlow","53_ADC022_IrrigSupDirectFlow_1","53_ADC023_IrrigSupDirectFlow","53_ADC023_IrrigSupDirectFlow_1","53_ADC024_IrrigSupDirectFlow","53_ADC024_IrrigSupDirectFlow_1","53_ADC025_IrrigSupDirectFlow","53_ADC025_IrrigSupDirectFlow_1","53_ADC026_IrrigSupDirectFlow","53_ADC026_IrrigSupDirectFlow_1","53_ADC028_IrrigSupDirectFlow","53_ADC028_IrrigSupDirectFlow_1","53_ADC032_IrrigSupDirectFlow","53_ADC032_IrrigSupDirectFlow_1","5300767_D_IrrigDemand","5300767_D_IrrigDemand_1","5300767_D_IrrigSupply","5300767_D_IrrigSupply_1","5300767_D_IrrigShortage","5300767_D_IrrigShortage_1","5300767_D_IrrigSupDirectFlow","5300767_D_IrrigSupDirectFlow_1"
"1971-08",28671.9995,32269.5809,3824.0328,32288.7186,NA,NA,NA,1757.0001,1757.0001,1757.0001,0,0,1757.0001,1757.0001,425,425,562.9999,562.9999,936,936,250,250,755,755,1427,1427,2460.9998,245.954,245.954,434.2002,434.2002,682.5897,682.5897,265,265,755,755,1427.0276,1427.0276,2460.9998,2460.9998,179.046,179.046,128.7998,128.7998,253.4103,253.4103,0,0,0,0,0,0,0,0,245.954,245.954,434.2002,434.2002,682.5897,682.5897,250,250,755,755,1427,1427,2460.9998,2460.9998,932,474,79.2479,0,394.7521,394.7521,79.2479,79.2479
"1971-09",11587.8065,18936.2439,2475.206,18818.3928,NA,NA,NA,1188,1188,1188,0,0,1188,1188,337,337,445,445,365,365,198,198,432,432,0,708,2.9032,238.02,238.02,207.7773,207.7773,367.7617,367.7617,210.08,210.08,432,432,708.0208,708.0208,1324,1324,98.98,98.98,237.2227,237.2227,0,0,0,0,0,0,0,0,0,0,238.02,238.02,207.7773,207.7773,365,365,198,198,432,432,708,708,1324,1324,0,341,58.4012,58.4012,282.5988,282.5988,58.4012,58.4012
"1971-10",5600,11134.1754,665.3065,8458.0202,NA,NA,NA,408,1757.0001,408,0,0,408,408,285,93,123,123,112,112,86,86,216,216,357,357,31,94.7015,94.7015,123,123,112,112,86,86,216,216,357.0056,357.0056,698,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,123,123,112,112,86,86,216,216,357,357,698,698,0,195,28.6734,0,166.3266,166.3266,28.6734,28.6734
"1971-11",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1971-12",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1972-01",404,3411.6665,0,12,NA,NA,NA,0,0,1699.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1972-02",4,8,0,8,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"1972-03",18,24,0,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0
"1972-04",5608,6783.2474,0,6759,NA,NA,NA,76,76,76,0,0,76,76,95,95,127,127,95,95,170,170,363,363,263,263,500,96.7698,96.7698,127,127,99.0363,99.0363,170,170,363,363,263.0057,263.0057,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,127,127,95,95,170,170,363,363,263,263,500,500,1,1,1,1,0,0,1,1
"1972-05",32989.9995,38389.2802,9e-04,41640.9985,NA,NA,NA,981,981,981,0,0,981,981,508,508,672,672,531,531,621,621,1220,1220,1988.9999,1988.9999,3562,517.4326,517.4326,672,672,543.2222,543.2222,621,621,1220,1220,102.3,1989.0309,3561.9998,3561.9998,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,2e-04,508,508,672,672,531,531,621,621,1220,1220,1988.9999,1988.9999,3561.9998,3561.9998,435,435,435,435,0,0,435,435
"1972-06",55400.0005,65080.9648,1775.1143,68415.606,NA,NA,NA,2181,2181,2181,0,0,2142.1799,2142.1799,910,910,1069.9999,1069.9999,1265,1265,900,900,1922.0002,1922.0002,3389,3389,5555,466.2214,466.2214,1069.9999,1069.9999,1265,1265,900,900,1922.0002,1922.0002,1380.9888,3389.0505,5555,5555,443.7786,443.7786,0,0,0,0,0,0,0,0,0,0,0,0,466.2214,466.2214,1069.9999,1069.9999,1265,1265,900,900,1922.0002,1922.0002,3389,3389,5555,5555,526,526,526,526,0,0,526,526
"1972-07",51084.0007,51250.0964,6579.5479,57613.6547,NA,NA,NA,2406.9998,78.5333,2406.9998,0,0,2213.5859,2213.5859,905.0001,905.0001,1197,1197,1588,1588,560,560,1382,1382,2951,2951,4609.0005,245.954,245.954,1197,1197,1133.0157,1133.0157,576.6,576.6,1382,1382,1603.0305,2951.0574,4609.0005,4609.0005,659.0461,659.0461,0,0,454.9843,454.9843,0,0,0,0,0,0,0,0,245.954,245.954,1197,1197,1133.0157,1133.0157,560,560,1382,1382,2951,2951,4609.0005,4609.0005,680,680,149.1433,149.1433,530.8566,530.8566,149.1433,149.1433
"1972-08",21581.9999,19351.2978,4445.0714,25862.9544,NA,NA,NA,1455,1455,1455,0,0,1455,1455,380,380,503,503,709,709,223,223,618,618,0,1220,2091,195,195,14.8666,14.8666,606.8915,606.8915,236.58,236.58,618,618,0,1220.0247,2091,0,185,185,488.1334,488.1334,102.1085,102.1085,0,0,0,0,0,0,0,0,195,195,14.8666,14.8666,606.8915,606.8915,223,223,618,618,1220,1220,2091,2091,392,767,55.9741,55.9741,336.026,336.026,55.9741,55.9741
"1972-09",13208,17819.1478,2350.7094,17747.8047,NA,NA,NA,1188,1188,1188,0,0,1188,1188,293,293,388,388,320,320,183,183,384,384,687,0,1251,194,194,198.8367,198.8367,322.266,322.266,188.18,188.18,384,384,687.0183,687.0183,1251,1251,99,99,189.1633,189.1633,0,0,0,0,0,0,0,0,0,0,194,194,198.8367,198.8367,320,320,183,183,384,384,687,687,1251,1251,1,341,41.486,41.486,299.514,299.514,41.486,41.486
"1972-10",4234.2,6857.9691,0,6792.0002,NA,NA,NA,438,438,438,0,0,438,438,28,28,61,61,94,94,137,137,114,114,340,340,3.1,28.4906,28.4906,61,61,94,94,137,137,114,114,340.0016,340.0016,438,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,61,61,94,94,137,137,114,114,340,340,438,438,64,64,64,64,0,0,64,64
"1972-11",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1972-12",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1973-01",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1973-02",2005.5483,8,0,8,NA,NA,NA,0,0,0,0,0,0,0,0,1000.7742,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"1973-03",18,24,0,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0
"1973-04",3106,3364,0,3359,NA,NA,NA,33,33,33,0,0,33,33,4,4,77,77,71,71,24,24,285,285,246,246,96,4,4,77,77,71,71,24,24,285,285,246,246,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,77,77,71,71,24,24,285,285,246,246,96,96,5,5,5,5,0,0,5,5
"1973-05",27135.1331,38464.5944,0,36696.9998,NA,NA,NA,901,0,2406.9998,0,0,901,901,0,503,667,667,502,502,688,688,1162,1162,1603,1040.5667,2948,514.6113,514.6113,706.8199,706.8199,523.187,523.187,688,688,1162,1162,1603.0305,1603.0305,2948,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,503,667,667,502,502,688,688,1162,1162,1603,1603,2948,2948,267,267,267,267,0,0,267,267
"1973-06",49522.0007,64346.586,2301.8418,68192.8785,NA,NA,NA,0,0,2181,0,0,2142.1799,2142.1799,0,910,1014.9999,1014.9999,1265,1265,1031,1031,1922.0002,1922.0002,3389,3389,5555,334.5395,334.5395,1027.7001,1027.7001,1265,1265,1031,1031,1922.0002,1922.0002,3389.0479,3389.0479,5555,5555,575.4604,575.4604,0,0,0,0,0,0,0,0,0,0,0,0,334.5395,334.5395,1014.9999,1014.9999,1265,1265,1031,1031,1922.0002,1922.0002,3389,3389,5555,5555,526,526,526,417.7176,0,0,526,526
"1973-07",45928.0012,72830.7976,3513.3419,71389.4888,NA,NA,NA,2394,2394,2394,0,0,2213.5859,2213.5859,302,1108,955,955,1741,1741,755,755,1867,1867,3527.0002,3527.0002,0,523.9069,523.9069,955,955,1486.9376,1486.9376,755,755,1867.0001,1867.0001,3527.0347,3527.0347,6004,6004,584.0931,584.0931,0,0,254.0624,254.0624,0,0,0,0,0,0,0,0,517.7332,517.7332,955,955,1486.9376,1486.9376,755,755,1867.0001,1867.0001,3527.0002,3527.0002,6004,6004,735.0001,735.0001,694.8201,694.8201,40.18,40.18,694.8201,694.8201
"1973-08",27991.9998,27891.7436,5084.4508,30953.3683,NA,NA,NA,1757.0001,1757.0001,0,0,0,1757.0001,1757.0001,445,445,588,588,936,936,262,262,755,755,1429,1429,2460.9998,245.954,245.954,231.6616,231.6616,606.8915,606.8915,277.52,277.52,755,755,1429.0288,1429.0288,2460.9998,2460.9998,199.046,199.046,356.3384,356.3384,329.1085,329.1085,0,0,0,0,0,0,0,0,245.954,245.954,155.9616,155.9616,606.8915,606.8915,262,262,755,755,1429,1429,2460.9998,2460.9998,474,474,87.3802,87.3802,386.6198,386.6198,87.3802,87.3802
"1973-09",16025.9998,16990.1612,4034.3699,16896.1042,NA,NA,NA,1188,1188,1188,0,0,1188,1188,333,333,442,442,362,362,197,197,408,408,688,688,1283,69.8818,69.8818,0,0,364.4926,364.4926,208.62,208.62,408,408,688.0202,688.0202,1283,1283,263.1182,263.1182,442,442,0,0,0,0,0,0,0,0,0,0,69.8818,69.8818,0,0,362,362,197,197,408,408,688,688,1283,1283,341,341,37.5257,37.5257,303.4743,303.4743,37.5257,37.5257
"1973-10",12254.0002,14214.8102,2132.5142,14142.9215,NA,NA,NA,983.0001,983.0001,983.0001,0,0,983.0001,983.0001,190,190,252,252,233,233,118,118,356,356,498,498,1050,193.5396,193.5396,74.3069,74.3069,233,233,121.28,121.28,356,356,498.0115,498.0115,1050,1050,0,0,177.6931,177.6931,0,0,0,0,0,0,0,0,0,0,190,190,74.3069,74.3069,233,233,118,118,356,356,498,498,1050,1050,400,400,44.5646,44.5646,355.4354,355.4354,44.5646,44.5646
"1973-11",832.4516,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.2258,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1973-12",6,12,0,12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1974-01",6,4790.1333,0,12,NA,NA,NA,0,2389.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1974-02",1286.4,8,0,8,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"1974-03",18,4918,0,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,0,0,0,0,0,0,1,1,2,2,0,0,3,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0
"1974-04",12616,2433.1215,0,2583,NA,NA,NA,76,76,0,0,0,76,76,15,15,30,30,18,18,132,132,125,125,99,99,5392,15.2794,15.2794,30,30,18,18,132,132,125,125,99.0009,99.0009,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,30,18,18,132,132,125,125,99,99,150,150,1,1,1,1,0,0,1,1
"1974-05",34048.0002,56646.0339,0,55815.0002,NA,NA,NA,1673,1673,1673,0,0,1673,1673,745,745,983.0001,983.0001,742,742,907,907,1573,1573,2409,2409,0,758.8788,758.8788,987.2,987.2,773.384,773.384,907,907,1573,1573,2409.0457,2409.0457,4447,4447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,745,983.0001,983.0001,742,742,907,907,1573,1573,2409,2409,4447,4447,633,0,633,633,0,0,633,633
"1974-06",55534.0005,59896.2007,0.0018,69998.7183,NA,NA,NA,2181,2181,2181,0,0,2142.1799,2142.1799,910,910,1067.0001,1067.0001,1265,1265,1031,1031,1909,1909,3389,3389,5392,910,910,1067.0001,1067.0001,1265,1265,1031,1031,1909,1909,3389.0503,3389.0503,5391.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,5e-04,910,910,1067.0001,1067.0001,1265,1265,1031,1031,1909,1909,3389,3389,5391.9995,5391.9995,526,526,526,526,0,0,526,526
"1974-07",47543.9995,56301.4679,4170.7099,55144.0182,NA,NA,NA,2406.9998,2406.9998,2406.9998,0,0,2213.5859,2213.5859,810,810,938,938,1519,1519,492,492,1362,1362,2951,2951,4057,278.783,278.783,938,938,1337.2397,1337.2397,492,492,1362,1362,2951.0447,2951.0447,4057,4057,531.217,531.217,0,0,181.7603,181.7603,0,0,0,0,0,0,0,0,245.954,245.954,938,938,1337.2397,1337.2397,492,492,1362,1362,2951,2951,4057,4057,582,582,252.2998,252.2998,329.7001,329.7001,252.2998,252.2998
"1974-08",31648.7996,34751.6564,5846.5575,34627.3321,NA,NA,NA,1840,1840,1840,0,0,1840,1840,532,532,702,702,991,991,312,312,805,805,1656.9999,1656.9999,2818,245.954,245.954,317.7022,317.7022,623.7484,623.7484,330.52,330.52,805,805,1657.0334,1657.0334,2817.9998,2817.9998,286.046,286.046,384.2979,384.2979,367.2517,367.2517,0,0,0,0,0,0,2e-04,2e-04,245.954,245.954,317.7022,317.7022,623.7484,623.7484,312,312,805,805,1656.9999,1656.9999,2817.9998,2817.9998,694.4,474,49.9564,49.9564,424.0436,424.0436,49.9052,49.9052
"1974-09",17817.9996,22397.8842,3757.8,21606.7663,NA,NA,NA,1187,2719,0,0,0,1187,1187,380,380,502,502,413,413,223,223,579.9999,579.9999,776,0,1828,176,176,192.1166,192.1166,415.8183,415.8183,236.58,236.58,579.9999,579.9999,776.0228,776.0228,1828,1828,204,204,309.8834,309.8834,0,0,0,0,0,0,0,0,0,0,176,176,192.1166,192.1166,413,413,223,223,579.9999,579.9999,776,776,1828,1828,461,461,35.4334,35.4334,425.5666,425.5666,35.4334,35.4334
"1974-10",11056,13139.9087,1465.9536,12980,NA,NA,NA,817,817,817,0,0,817,817,172,172,227,227,210,210,107,107,319,319,448,448,945,175.2353,175.2353,227,227,210,210,110.22,110.22,319,319,448.0103,448.0103,945,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,227,227,210,210,107,107,319,319,448,448,945,945,400,400,33.5116,33.5116,366.4884,366.4884,0,0
"1974-11",36,548.9033,0,36,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,256.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1974-12",4633.4663,76.0588,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316.7332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0294,0,0,0,0,0
"1975-01",1154,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1975-02",48,48,0,48,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1975-03",6,8,0,8,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
