"Date","01_AGG_IrrigDemand","01_AGG_IrrigSupply","01_AGG_IrrigShortage","01_AGG_IrrigSupDirectFlow","01_AGG_MunDemand","01_AGG_MunSupply","01_AGG_MunShortage","0100507_I_IrrigDemand","0100507_I_IrrigSupply","0100507_I_IrrigShortage","0100507_I_IrrigSupDirectFlow","0100620_IrrigDemand","0100620_IrrigSupply","0100620_IrrigShortage","0100620_IrrigSupDirectFlow","0100517_IrrigDemand","0100517_IrrigSupply","0100517_IrrigShortage","0100517_IrrigSupDirectFlow","0100570_IrrigDemand","0100570_IrrigSupply","0100570_IrrigShortage","0100570_IrrigSupDirectFlow","0100514_IrrigDemand","0100514_IrrigSupply","0100514_IrrigShortage","0100514_IrrigSupDirectFlow","0100520_IrrigDemand","0100520_IrrigSupply","0100520_IrrigShortage","0100520_IrrigSupDirectFlow","0103817_I_IrrigDemand","0103817_I_IrrigSupply","0103817_I_IrrigShortage","0103817_I_IrrigSupDirectFlow","0100526_IrrigDemand","0100526_IrrigSupply","0100526_IrrigShortage","0100526_IrrigSupDirectFlow","0100518_IrrigDemand","0100518_IrrigSupply","0100518_IrrigShortage","0100518_IrrigSupDirectFlow","0100565_IrrigDemand","0100565_IrrigSupply","0100565_IrrigShortage","0100565_IrrigSupDirectFlow","0100687_I_IrrigDemand","0100687_I_IrrigSupply","0100687_I_IrrigShortage","0100687_I_IrrigSupDirectFlow","0100503_I_IrrigDemand","0100503_I_IrrigSupply","0100503_I_IrrigShortage","0100503_I_IrrigSupDirectFlow","01_ADP037_IrrigDemand","01_ADP037_IrrigSupply","01_ADP037_IrrigShortage","01_ADP037_IrrigSupDirectFlow","0100525_IrrigDemand","0100525_IrrigSupply","0100525_IrrigShortage","0100525_IrrigSupDirectFlow","0100519_D_IrrigDemand","0100519_D_IrrigSupply","0100519_D_IrrigShortage","0100519_D_IrrigSupDirectFlow","0100688_IrrigDemand","0100688_IrrigSupply","0100688_IrrigShortage","0100688_IrrigSupDirectFlow","0100515_IrrigDemand","0100515_IrrigSupply","0100515_IrrigShortage","0100515_IrrigSupDirectFlow","0100511_IrrigDemand","0100511_IrrigSupply","0100511_IrrigShortage","0100511_IrrigSupDirectFlow"
"1972-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1972-03",2149,2286.6496,6,807,NA,NA,NA,281,331.787,0,0,0,0,0,0,13,15.0826,0,13,2,1,1,0,87,108.6811,0,87,32,33.3858,0,32,4,4,0,0,74,82.2691,0,74,124,143.7756,0,124,5,0,5,0,575,575,0,0,475,475,0,0,6,6.2098,0,6,29,33.4148,0,29,79,79.0001,0,79,138,138,0,138,124,141.908,0,124,101,118.1356,0,101
"1972-04",42746.9999,42552.7402,197.4952,15819.0092,NA,NA,NA,12780,12780.0059,0,0,116,0,116,0,256,256,0,256,3,2,1,0,1664,1664,0,1664,109,112.2229,0,59.505,62,62,0,0,553.9999,553.9999,0,553.9999,4517.9995,4517.9995,0,4517.9995,31,0,31,0,7300,7300,0,0,6537.0005,6537.0073,0,0,109,59.505,49.495,59.505,323,323,0,323,1183,1183,0,1183,512,512,0,512,3437,3436.9998,1e-04,3436.9998,3253,3253,0,3253
"1972-05",90605.0003,91167.7958,602.7551,34086.4348,NA,NA,NA,14158,14158.0166,0,0,135,0,135,0,1734.9999,1734.9999,0,1734.9999,55,7,48,0,7294.9995,7294.9995,0,7294.9995,242,202.7569,39.2431,61.4885,131,131,0,0,1246.9999,1246.9999,0,1246.9999,9388,9388,0,3788.0833,37,0,37,0,16577,17452.252,0,0,17259,17522.9199,0,0,405,61.4885,343.5115,61.4885,1328,1328,0,1328,1865.0001,1891.3627,0,1865.0002,659,659.0001,0,659.0001,9189.001,9189,5e-04,7146.375,8900,8900,0,8900
"1972-06",87380.9978,90647.4746,630.4959,35904.5048,NA,NA,NA,12838,13734.3799,0,0,130,0,130,0,1233,1240.8771,0,1233,119,119,0,0,7673,7713.0376,0,7673,385,385,0,0,185,185,0,0,1251,1357.9377,0,992,7427,8077.1074,0,7427,54,0,54,0,19257.998,19257.998,9e-04,0,17702,19268.3047,0,0,505.9999,59.505,446.495,59.505,1213,1234.179,0,1213,2316.0002,2559.6155,0,2316.0002,793,793,0,693,7093,7457.5332,0,7093,7204.9995,7204.9995,0,7204.9995
"1972-07",98433.0001,100586.7982,698.5115,30488.7643,NA,NA,NA,19255,20214.707,0,0,147,0,147,0,919,1017.9958,0,919,114,114,0,0,10419,10637.0664,0,6647.5063,304,304.0432,0,0,221,221,0,0,1227,1371.6177,0,652,5913,6623.6611,0,5427.9995,73,0,73,0,21765,21765,0,0,19298,19298,0,0,540,61.4885,478.5115,61.4885,950.0001,958.3312,0,950.0001,2045,2264.1689,0,1229.7699,642.0001,642.0001,0,0,5812,6304.7183,0,5812,8789,8789,0,8789
"1972-08",75850.0009,78368.3325,443.5124,26772.2596,NA,NA,NA,13699,15477.4785,0,0,97,0,97,0,727.9999,806.6276,0,727.9999,10,10,0,0,8784.001,9013.9307,0,8784.001,394,394,0,0,155,155,0,0,930,930.0001,0,0,4421,4952.1812,0,3728.0002,51,0,51,0,17931,17931,9e-04,0,14088,14088.002,0,0,357,61.4885,295.5115,61.4885,736,736,0,736,1565,1565,0,1229.7699,399,399,0,0,4905,5248.624,0,4905,6600,6600,0,6600
"1972-09",59052.0011,59991.607,328.4958,20470.5052,NA,NA,NA,8988,9885.4668,0,0,101,0,101,0,571,586.1566,0,571,0,0,0,0,6064,6064,0,6064,240,240,0,0,106,106,0,0,643.9999,686.577,0,27,3300,3437.2244,0,2220,38,0,38,0,15845.001,15845.001,8e-04,0,11377,11436.3516,0,0,249,59.505,189.495,59.505,826,826,0,826,1461,1503.5361,0,1461,623,623,0,623,3948.0002,4021.7886,0,3948.0002,4671,4671,0,4671
"1972-10",12533.9999,13352.6878,94.896,4431.4884,NA,NA,NA,1681,1983.5732,0,0,62,0,62,0,121,143.6153,0,121,0,0,0,0,577,720.2292,0,577,81,90.6725,0,0,42,42,0,0,294,294,0,171,958,1109.0082,0,958,30,0,30,0,3573.9998,3573.9995,2e-04,0,2505.0002,2505.0002,0,0,66,63.1042,2.8958,61.4885,232,267.3187,0,232,332,332.0001,0,332,357,357,0,357,962,1101.2213,0,962,659.9999,769.9454,0,659.9999
"1972-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1972-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-03",0,3e-04,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0
"1973-04",3077.0001,3054.698,30.0001,758,NA,NA,NA,1000.0001,1000.0007,0,0,21,0,21,0,7,7.361,0,7,0,0,0,0,67,71.1201,0,67,17,18.0177,0,12,8,8,0,0,70,70,0,70,84,84,0,84,9,0,9,0,746,745.9999,1e-04,0,530,530.7028,0,0,14,14.4434,0,14,24,25.0524,0,24,115,115.0001,0,115,102,102,0,102,95,95,0,95,168,168,0,168
"1973-05",68853.9984,68420.1381,450.381,21728.4889,NA,NA,NA,9237,9237.0098,0,0,161,10,151,0,995,995,0,995,8,8,0,0,2137,2137,0,2137,224,224,0,0,92,92,0,0,888,888,0,752,5922,5922,0,5922,10,0,10,0,25083.998,25083.998,0,0,11884,11900.5107,0,0,351,61.6192,289.3808,61.4885,730,730,0,730,1125.9999,1125.9998,1e-04,1125.9999,460,460,0,460,4721,4721,1e-04,4721,4824.0005,4824.0005,0,4824.0005
"1973-06",96233.9989,101824.1844,684.2988,37650.0099,NA,NA,NA,14653.999,15142.9736,0,0,157,10,147,0,1204,1221.5454,0,1204,122,133,0,0,6716,6891.7607,0,6716,329,327.1961,1.8038,59.505,205,205,0,0,1243,1336.3033,0,1023.0001,8653.999,8914.584,0,8653.999,66,0,66,0,21404,26082.041,0,0,21017,21349.5352,0,0,529,59.505,469.495,59.505,1112.0001,1170.4065,0,1112.0001,2424.9998,2583.3325,0,2424.9998,823,823,0,823,8664.001,8664.001,0,8664.001,6910,6910,0,6910
"1973-07",104482.9984,106822.8869,1052.987,37404.9774,NA,NA,NA,18167,19254.0352,0,0,123,15,108,0,1019,1118.7853,0,1019,156,105.2,50.8,0,9949,10261.4619,0,9949,322,347.2516,0,61.4885,191,191,0,0,1304.9999,1372.1862,0,984.9999,7716,8545.7783,0,7716,64,0,64,0,25235.998,25661.6172,0,0,21618,21091.3242,526.6755,0,365,61.4885,303.5115,61.4885,931,955.5991,0,931,2328,2330.2278,0,1768,712,712,0,633,6944,7462.9312,0,6944,7337.0005,7337.0005,0,7337.0005
"1973-08",121795.0016,124421.7279,727.5143,36685.0593,NA,NA,NA,21905,23215.8047,0,0,158,13,145,0,1042,1185.5468,0,1042,67,5,62,0,12761,13095.0859,0,12761,313,356.0909,0,6,240,240,0,0,1674,1674,0,1233,8018.9995,9027.5254,0,3326.8289,76,0,76,0,32497.002,32497.002,9e-04,0,21742,21741.998,0.0019,0,506,61.4885,444.5115,61.4885,1304.9999,1304.9999,0,1304.9999,2546.9998,2547.0002,0,1900.0004,799,799,0,547,7861.0005,8375.1855,0,6219.7417,8283,8283,0,8283
"1973-09",23683,23883.1094,142.495,7425.505,NA,NA,NA,4788,4959.7251,0,0,44,12,32,0,176,183.6295,0,176,0,0,0,0,2398,2460.7014,0,2398,174,174,0,0,43,43,0,0,455,455,0,0,1322,1359.8695,0,815.9999,21,0,21,0,5669,5669,0,0,4267,4289.3745,0,0,149,59.505,89.495,59.505,245,245,0,245,534.9999,534.9999,0,334,205,205,0,205,1439,1479.3044,0,1439,1753,1753,0,1753
"1973-10",16051.0003,16980.8318,216.9583,5580.977,NA,NA,NA,2057.0002,2427.1956,0,0,93,1,92,0,146,173.3127,0,146,0,0,0,0,696.0001,868.448,0,696.0001,113,106.5533,6.4467,61.4885,61,61,0,0,366,407.8683,0,311,1109,1284.0575,0,1109,32,0,32,0,4939,4939,2e-04,0,3095,3095,0,0,148,61.4885,86.5115,61.4885,265,304.8597,0,265,425,426.0139,0,425,440,440,0,440,1172,1341.5172,0,1172,894,1043.5171,0,894
"1973-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1974-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1974-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1974-03",75,75.0003,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0
"1974-04",47348.0011,47230.7407,118.495,17127.0101,NA,NA,NA,12620.001,12620.0049,0,0,72,0,72,0,297,297,0,297,2,0,2,0,1905.0001,1905.0001,0,1905.0001,114,115.2229,0,59.505,55,55,0,0,651,651,0,651,5118,5118,0,5118,24,0,24,0,10090,10090,0,0,7283,7283.0078,0,0,80,59.505,20.495,59.505,408,408,0,408,1335,1335,0,1335,544,544,0,544,3820.9998,3820.9998,0,3820.9998,2929.0002,2929.0002,0,2929.0002
"1974-05",136979.0009,128832.5774,9769.687,47457.7681,NA,NA,NA,24171.002,24171.0254,0,0,169,0,169,0,2515,2158.8613,356.1388,2158.8613,99,7,92,0,12294.999,12294.999,0,12294.999,346,167.522,178.478,61.4885,198,198,0,0,1856,1856,0,1856,13648,10665.1807,2982.8196,5922.8218,77,0,77,0,24228,25437.8672,0,0,24561,24936.6719,0,0,543,61.4885,481.5115,61.4885,1825,1823.7489,1.2511,1823.7489,2665,2702.7,0,2664.9998,923.9999,923.9999,0,923.9999,13489,11281.9102,2207.0908,9543.7578,13370,10145.6025,3224.3972,10145.6025
"1974-06",96497.9972,100349.6158,615.4951,38815.5051,NA,NA,NA,14177.999,15168.375,0,0,166,0,166,0,1343,1351.7482,0,1343,119,119,0,0,8805,8851.0654,0,8805,385,385,0,0,184,184,0,0,1308,1419.0314,0,1049,8054,8758.9082,0,8054,54,0,54,0,22674,22674,0,0,19167.998,21102.4277,0,0,455,59.505,395.495,59.505,1220.9999,1242.5295,0,1220.9999,2491.0002,2753.0415,0,2491.0002,790,790,0,690,7553,7940.9839,0,7553,7550,7550,0,7550
"1974-07",120184.9962,122961.6429,750.5117,43122.8066,NA,NA,NA,20926,21968.9844,0,0,168,0,168,0,1084,1201.1984,0,1084,114,114,0,0,11900,12149.1641,0,11900,332,335.5209,0,28,239,239,0,0,1625.0001,1808.8157,0,1050,8250,9258.4648,0,7765,58,0,58,0,29577.998,29577.998,2e-04,0,23510.998,23511,0,0,586,61.4885,524.5115,61.4885,1235,1245.7428,0,1235,2635,2925.7839,0,2634.9998,813.9999,814,0,234.3194,7325,7945.4814,0,7324.999,9805,9805,0,9805
"1974-08",101823.0021,91940.4039,13839.5077,35180.8929,NA,NA,NA,18050,20393.7402,0,0,160,0,160,0,950.0001,1052.5004,0,950.0001,10,12,0,0,11005,11292.9365,0,11005,394,394,0,0,232,232,0,0,1093.0001,1162.1554,0,163,5779,6497.207,0,5086,64,0,64,0,25651.002,12523.0059,13127.9961,0,18878,18878,0,0,549.0001,61.4885,487.5115,61.4885,1031,1031,0,1031,2041.9999,2041.9999,0,1541.4043,592,592,0,0,6186,6619.3701,0,6186,9157,9157,0,9157
"1974-09",57496.001,58306.1491,373.4999,20047.5053,NA,NA,NA,8610,9469.9854,0,0,120,0,120,0,545.0001,559.5679,0,545.0001,0,0,0,0,5515.0005,5515.0581,0,5515.0005,240,240,0,0,112,112,0,0,639,639,0,22,3272,3407.5327,0,2192.0002,50,0,50,0,15056.001,15055.9961,0.0049,0,11360,11419.1602,0,0,263,59.505,203.495,59.505,906,906,0,906,1437,1478.8633,0,1437,679,679,0,679,3883,3955.481,0,3883,4808.9995,4808.9995,0,4808.9995
"1974-10",16784.0005,17835.1377,127.4182,6266.4885,NA,NA,NA,1965,2318.6497,0,0,89,0,89,0,176,209.3495,0,176,0,0,0,0,770.0001,961.0042,0,770.0001,121,133.8317,0,40,49,49,0,0,477,477,0,354,1335,1545.4227,0,1335,32,0,32,0,4716.0005,4716.0005,2e-04,0,3455,3455,0,0,69,62.5822,6.4178,61.4885,355,408.6988,0,355,514,513.9998,2e-04,514,552,552,0,552,1307.9999,1497.642,0,1307.9999,801,934.9565,0,801
"1974-11",65,66.2887,0,22,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.6442,0,3,2,2,0,2,0,0,0,0,3,3,0,3,3,3.2526,0,3,0,0,0,0,32,32,0,0,11,11,0,0,0,0,0,0,2,2.0877,0,2,1,1,0,1,5,5,0,5,3,3.3042,0,3,0,0,0,0
"1974-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1975-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1975-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1975-03",0,3e-04,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0
