"Date","07_AGG_IrrigDemand","07_AGG_IrrigSupply","07_AGG_IrrigShortage","07_AGG_IrrigSupDirectFlow","07_AGG_MunDemand","07_AGG_MunSupply","07_AGG_MunShortage","0700502_I_IrrigDemand","0700502_I_IrrigSupply","0700502_I_IrrigShortage","0700502_I_IrrigSupDirectFlow","0700540_I_IrrigDemand","0700540_I_IrrigSupply","0700540_I_IrrigShortage","0700540_I_IrrigSupDirectFlow","0700549_I_IrrigDemand","0700549_I_IrrigSupply","0700549_I_IrrigShortage","0700549_I_IrrigSupDirectFlow","0700569_I_IrrigDemand","0700569_I_IrrigSupply","0700569_I_IrrigShortage","0700569_I_IrrigSupDirectFlow","0700570_I_IrrigDemand","0700570_I_IrrigSupply","0700570_I_IrrigShortage","0700570_I_IrrigSupDirectFlow","0700597_I_IrrigDemand","0700597_I_IrrigSupply","0700597_I_IrrigShortage","0700597_I_IrrigSupDirectFlow","0700601_I_IrrigDemand","0700601_I_IrrigSupply","0700601_I_IrrigShortage","0700601_I_IrrigSupDirectFlow","0700547_I_IrrigDemand","0700547_I_IrrigSupply","0700547_I_IrrigShortage","0700547_I_IrrigSupDirectFlow","0700614_IrrigDemand","0700614_IrrigSupply","0700614_IrrigShortage","0700614_IrrigSupDirectFlow","0700647_IrrigDemand","0700647_IrrigSupply","0700647_IrrigShortage","0700647_IrrigSupDirectFlow","0700652_I_IrrigDemand","0700652_I_IrrigSupply","0700652_I_IrrigShortage","0700652_I_IrrigSupDirectFlow","0700527_D_IrrigDemand","0700527_D_IrrigSupply","0700527_D_IrrigShortage","0700527_D_IrrigSupDirectFlow","0700698_I_IrrigDemand","0700698_I_IrrigSupply","0700698_I_IrrigShortage","0700698_I_IrrigSupDirectFlow","07_ADP001_IrrigDemand","07_ADP001_IrrigSupply","07_ADP001_IrrigShortage","07_ADP001_IrrigSupDirectFlow","0700699_IrrigDemand","0700699_IrrigSupply","0700699_IrrigShortage","0700699_IrrigSupDirectFlow","07_Arvada_I_MunDemand","07_Arvada_I_MunSupply","07_Arvada_I_MunShortage","07_Arvada_O_MunDemand","07_Arvada_O_MunSupply","07_Arvada_O_MunShortage","07_ConMut_I_MunDemand","07_ConMut_I_MunSupply","07_ConMut_I_MunShortage","07_ConMut_O_MunDemand","07_ConMut_O_MunSupply","07_ConMut_O_MunShortage","07_CoorsC_MunDemand","07_CoorsC_MunSupply","07_CoorsC_MunShortage","07_CoorsB_MunDemand","07_CoorsB_MunSupply","07_CoorsB_MunShortage","07_Golden_I_MunDemand","07_Golden_I_MunSupply","07_Golden_I_MunShortage","07_Golden_O_MunDemand","07_Golden_O_MunSupply","07_Golden_O_MunShortage","07_AMP001_I_MunDemand","07_AMP001_I_MunSupply","07_AMP001_I_MunShortage","07_AMP001_O_MunDemand","07_AMP001_O_MunSupply","07_AMP001_O_MunShortage"
"1971-08",6570.0001,5147.3644,1426.1037,750.0001,6086.6399,6086.6398,1e-04,929,683.9869,245.0131,0,1200,1200,0,0,282,282,0,0,1469,598.0739,870.9261,0,67,67,0,0,60,60,0,0,180,180,0,0,955,955,0,0,40,40,0,40,69,69,0,69,125,125,0,0,520.0001,520.0001,0,520.0001,377,172.511,204.489,0,121,124.468,0,121,176,70.3245,105.6755,0,798.18,798.18,0,1861.5699,1861.5698,1e-04,116,116,0,190,190,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,332.69,332.69,0,598.18,598.18,0,1479.6,1479.6,0
"1971-09",1781,1784.5759,0,196,5161.61,5161.6063,0.0037,344,344,0,0,141,141,0,0,62,62,0,0,440,440.8279,0,0,22,22,0,0,33,33,0,0,63,63,0,0,300,300,0,0,13,13,0,13,16,16,0,16,22,22,0,0,136,136,0,136,114,114,0,0,31,33.748,0,31,44,44,0,0,798.1801,798.1801,0,1423.5599,1423.5601,0,116,116,0,141,141,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,254.41,254.41,0,598.18,598.18,0,1135.75,1135.75,0
"1971-10",1294,1368.7631,5,121,3813.78,3813.78,0,165,184.8,0,0,138,158.9,0,0,13,8,5,0,590,590,0,0,5,5.3,0,0,5,5.15,0,0,15,16.35,0,0,108,114.5491,0,0,5,5.6,0,5,20,22.4,0,20,5,5.63,0,0,43,49.908,0,43,97,102.62,0,0,53,58.924,0,53,32,40.632,0,0,798.18,798.18,0,766.53,766.53,0,116,116,0,76,76,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,136.99,136.99,0,598.18,598.18,0,611.48,611.48,0
"1971-11",2,1,1,0,2206.89,2206.8863,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,798.1801,798.1801,0,0,0,0,116,116,0,0,0,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,0,0,0,598.18,598.18,0,0,0,0
"1971-12",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,116,116,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,598.18,598.18,0,0,0,0
"1972-01",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,119,119,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,595.18,595.18,0,0,0,0
"1972-02",0,0,0,0,2175.1199,2175.1185,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,119,119,0,0,0,0,62.42,62.42,0,458.19,458.1885,0.0015,142.15,142.15,0,0,0,0,595.18,595.18,0,0,0,0
"1972-03",767,639.7576,136.7764,72,2206.75,2206.75,0,95,57,38,0,88,53,35,0,7,4,3,0,356,356,0,0,2,1,1,0,3,2,1,0,10,6,4,0,53,32,21,0,3,3.56,0,3,12,13.24,0,12,3,3.578,0,0,25,28.9,0,25,60,36,24,0,32,35.256,0,32,18,8.2236,9.7764,0,798.18,798.18,0,0,0,0,119,119,0,0,0,0,61.32,61.32,0,490.92,490.92,0,142.15,142.15,0,0,0,0,595.18,595.18,0,0,0,0
"1972-04",2346.9999,2053.6834,296.3285,306,4252.4601,4252.4563,0.0037,226,226,0,0,193,79.3947,113.6053,0,14,6,8,0,1152.9999,1007.9139,145.086,0,20,20,0,0,8,8,0,0,27,27,0,0,173,143.3629,29.6371,0,7,7,0,7,19,20.88,0,19,10,10,0,0,47,48.132,0,47,170,170,0,0,233,233,0,233,47,47,0,0,798.1801,798.1801,0,985.54,985.54,0,119,119,0,101,101,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,176.13,176.13,0,595.1801,595.1801,0,782.9,782.9,0
"1972-05",5844.9999,4570.0886,1274.9113,666,5632.07,5610.0649,22.0051,621,621,0,0,1032.9999,1032.9999,0,0,100,100,0,0,1975,903.6842,1071.3158,0,71,71,0,0,42,42,0,0,144,144,0,0,643,643,0,0,42,42,0,42,63,63,0,63,133,133,0,0,390,390,0,390,300,164.108,135.892,0,171,171,0,171,117,49.2966,67.7034,0,798.18,798.18,0,1642.5699,1642.5699,0,119,119,0,172,172,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,293.55,271.5449,22.005,595.18,595.18,0,1301.17,1301.17,0
"1972-06",6811.0001,6816.2092,0,856,6525.3202,6525.3164,0.0037,854,854,0,0,1560,1560,0,0,173,173,0,0,1790,1795.2091,0,0,50,50,0,0,63,63,0,0,180,180,0,0,564.0001,564.0001,0,0,56,56,0,56,81,81,0,81,200,200,0,0,589,589,0,589,347,347,0,0,130,130,0,130,174,174,0,0,798.1801,798.1801,0,2080.5801,2080.5801,0,119,119,0,212,212,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,371.83,371.83,0,595.1801,595.1801,0,1654.02,1654.02,0
"1972-07",6701.9999,5155.3532,1554.4307,757,6768.5002,6768.5002,0,700.0001,700.0001,0,0,1191.9999,1114.3881,77.6119,0,333,333,0,0,1814,583.6885,1230.3113,0,56,56,0,0,83,83,0,0,160,160,0,0,956,956,0,0,71,71,0,71,77,77,0,77,167,167,0,0,511,511,0,511,334,156.511,177.489,0,98,105.784,0,98,150,80.9815,69.0185,0,798.18,798.18,0,2190.0903,2190.0903,0,119,119,0,224,224,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,391.4,391.4,0,595.18,595.18,0,1740.2299,1740.2299,0
"1972-08",3850,3004.7113,851.3568,492,6086.6399,6086.6399,0,543,460.8672,82.1328,0,470,150.4245,319.5755,0,131,131,0,0,976,628.171,347.829,0,44,44,0,0,80,80,0,0,133,133,0,0,642.0001,642.0001,0,0,50,50,0,50,41,41,0,41,50,50,0,0,330,330,0,330,212,131.511,80.489,0,71,77.068,0,71,77,55.6696,21.3304,0,798.18,798.18,0,1861.5699,1861.5699,0,119,119,0,195,195,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,332.69,332.69,0,595.18,595.18,0,1474.6,1474.6,0
"1972-09",3115,2750.2964,372.3236,385,5161.6101,5161.6063,0.0037,555,546.866,8.1339,0,219,165.8486,53.1514,0,57,57,0,0,905,660.5154,244.4846,0,33,33,0,0,75,75,0,0,110,110,0,0,461,461,0,0,23,23,0,23,30,30.6,0,30,18,18,0,0,267,267,0,267,212,182.74,29.26,0,65,72.02,0,65,85,47.7063,37.2937,0,798.1801,798.1801,0,1423.5599,1423.5599,0,119,119,0,144,144,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,254.41,254.41,0,595.1801,595.1801,0,1132.75,1132.75,0
"1972-10",1187,1239.379,5,95,3813.78,3813.78,0,127,142.04,0,0,107,122.85,0,0,13,8,5,0,587,587,0,0,3,3.38,0,0,3,3.29,0,0,12,12.88,0,0,142,150.157,0,0,3,3.56,0,3,17,18.84,0,17,3,3.578,0,0,33,38.348,0,33,72,76.12,0,0,42,46.336,0,42,23,23,0,0,798.18,798.18,0,766.53,766.53,0,119,119,0,78,78,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,136.99,136.99,0,595.18,595.18,0,609.48,609.48,0
"1972-11",0,0,0,0,2206.8901,2206.8863,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.1801,798.1801,0,0,0,0,119,119,0,0,0,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,0,0,0,595.1801,595.1801,0,0,0,0
"1972-12",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,119,119,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,595.18,595.18,0,0,0,0
"1973-01",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,123,123,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,591.1801,591.1801,0,0,0,0
"1973-02",0,0,0,0,2175.1199,2175.1185,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,123,123,0,0,0,0,62.42,62.42,0,458.19,458.1885,0.0015,142.15,142.15,0,0,0,0,591.18,591.18,0,0,0,0
"1973-03",0,0,0,0,2206.75,2206.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,123,123,0,0,0,0,61.32,61.32,0,490.92,490.92,0,142.15,142.15,0,0,0,0,591.1801,591.1801,0,0,0,0
"1973-04",157,157.112,0,10,4252.4601,4252.4563,0.0037,5,5,0,0,8,8,0,0,2,2,0,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.112,0,2,7,7,0,0,8,8,0,8,0,0,0,0,798.1801,798.1801,0,985.54,985.54,0,123,123,0,104,104,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,176.13,176.13,0,591.18,591.18,0,779.9,779.9,0
"1973-05",1251,1251,0,99,5632.0701,5632.0701,0,46,46,0,0,192,192,0,0,28,28,0,0,595,595,0,0,14,14,0,0,8,8,0,0,22,22,0,0,191,191,0,0,8,8,0,8,9,9,0,9,0,0,0,0,50,50,0,50,43,43,0,0,32,32,0,32,13,13,0,0,798.18,798.18,0,1642.5699,1642.5699,0,123,123,0,177,177,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,293.55,293.55,0,591.1801,591.1801,0,1296.1702,1296.1702,0
"1973-06",7532.0002,7562.945,0,758.0001,6525.3201,6525.3163,0.0037,704,704,0,0,1540.0001,1540.0001,0,0,255,255,0,0,2471,2501.9448,0,0,60,60,0,0,75,75,0,0,160,160,0,0,890,890,0,0,56,56,0,56,74,74,0,74,167,167,0,0,500,500,0,500,313,313,0,0,128,128,0,128,139,139,0,0,798.1801,798.1801,0,2080.5801,2080.5801,0,123,123,0,217,217,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,371.83,371.83,0,591.18,591.18,0,1649.02,1649.02,0
"1973-07",5556.9999,5568.242,0,528,6768.5005,6768.5005,0,456,456,0,0,932.9999,932.9999,0,0,267,267,0,0,1912,1917.65,0,0,44,44,0,0,67,67,0,0,110,110,0,0,807,807,0,0,57,57,0,57,53,53,0,53,100,100,0,0,344,344,0,344,238,238,0,0,74,79.592,0,74,95,95,0,0,798.18,798.18,0,2190.0903,2190.0903,0,123,123,0,230,230,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,391.4,391.4,0,591.1801,591.1801,0,1734.2301,1734.2301,0
"1973-08",5782,4736.1567,1055.1832,720,6086.64,6086.6401,0,817,797.5529,19.4471,0,704,704,0,0,194,194,0,0,1569,715.7712,853.2287,0,56,56,0,0,100,100,0,0,189,189,0,0,916,916,0,0,63,63,0,63,62,62,0,62,83,83,0,0,490,490,0,490,318,167.511,150.489,0,105,114.34,0,105,116,83.9815,32.0185,0,798.18,798.18,0,1861.5699,1861.5701,0,123,123,0,200,200,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,332.69,332.69,0,591.1801,591.1801,0,1469.6,1469.6,0
"1973-09",2227,2222.9336,13.7505,276,5161.61,5161.6062,0.0037,405,405,0,0,155,158.25,0,0,43,43,0,0,627.0001,628.1182,0,0,22,22,0,0,50,50,0,0,80,80,0,0,339,339,0,0,15,15,0,15,22,22.44,0,22,12,12,0,0,192,192,0,192,155,155,0,0,47,51.876,0,47,63,49.2495,13.7505,0,798.1801,798.1801,0,1423.5599,1423.5599,0,123,123,0,148,148,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,254.41,254.41,0,591.18,591.18,0,1128.75,1128.75,0
"1973-10",1800,1891.4548,8,152,3813.7801,3813.7801,0,198,221.96,0,0,170,195.5,0,0,20,12,8,0,870,870,0,0,7,7.22,0,0,7,7.01,0,0,18,19.82,0,0,200,211.7649,0,0,7,7.64,0,7,27,30.04,0,27,5,5.63,0,0,53,61.468,0,53,115,121.9,0,0,65,72.02,0,65,38,47.4819,0,0,798.18,798.18,0,766.53,766.53,0,123,123,0,80,80,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,136.99,136.99,0,591.1801,591.1801,0,607.48,607.48,0
"1973-11",19,16.056,3,2,2206.89,2206.8863,0.0037,2,2.04,0,0,2,1,1,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2.016,0,2,0,0,0,0,798.1801,798.1801,0,0,0,0,123,123,0,0,0,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,0,0,0,591.18,591.18,0,0,0,0
"1973-12",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,123,123,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,591.1801,591.1801,0,0,0,0
"1974-01",0,0,0,0,2222.78,2222.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,126,126,0,0,0,0,60.99,60.99,0,507.28,507.28,0,142.15,142.15,0,0,0,0,588.18,588.18,0,0,0,0
"1974-02",0,0,0,0,2175.1199,2175.1185,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,126,126,0,0,0,0,62.42,62.42,0,458.19,458.1885,0.0015,142.15,142.15,0,0,0,0,588.18,588.18,0,0,0,0
"1974-03",58,55,3,0,2206.75,2206.75,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.18,798.18,0,0,0,0,126,126,0,0,0,0,61.32,61.32,0,490.92,490.92,0,142.15,142.15,0,0,0,0,588.18,588.18,0,0,0,0
"1974-04",2333.0001,2290.696,45.5402,314,4252.4601,4252.4563,0.0037,231,231,0,0,180,144.4599,35.5402,0,17,7,10,0,1090.0001,1090.0001,0,0,20,20,0,0,12,12,0,0,27,27,0,0,200,200,0,0,11,11,0,11,19,20.88,0,19,15,15,0,0,51,52.356,0,51,177,177,0,0,233,233,0,233,50,50,0,0,798.1801,798.1801,0,985.54,985.54,0,126,126,0,107,107,0,61.46,61.46,0,490.92,490.9162,0.0037,142.15,142.15,0,176.13,176.13,0,588.18,588.18,0,776.9,776.9,0
