"Date","02_AGG_IrrigDemand","02_AGG_IrrigSupply","02_AGG_IrrigShortage","02_AGG_IrrigSupDirectFlow","02_AGG_MunDemand","02_AGG_MunSupply","02_AGG_MunShortage","0203837_I_IrrigDemand","0203837_I_IrrigSupply","0203837_I_IrrigShortage","0203837_I_IrrigSupDirectFlow","0200873_IrrigDemand","0200873_IrrigSupply","0200873_IrrigShortage","0200873_IrrigSupDirectFlow","0200809_IrrigDemand","0200809_IrrigSupply","0200809_IrrigShortage","0200809_IrrigSupDirectFlow","0200810_I_IrrigDemand","0200810_I_IrrigSupply","0200810_I_IrrigShortage","0200810_I_IrrigSupDirectFlow","0200817_I_IrrigDemand","0200817_I_IrrigSupply","0200817_I_IrrigShortage","0200817_I_IrrigSupDirectFlow","0200824_I_IrrigDemand","0200824_I_IrrigSupply","0200824_I_IrrigShortage","0200824_I_IrrigSupDirectFlow","0200808_I_IrrigDemand","0200808_I_IrrigSupply","0200808_I_IrrigShortage","0200808_I_IrrigSupDirectFlow","0200872_IrrigDemand","0200872_IrrigSupply","0200872_IrrigShortage","0200872_IrrigSupDirectFlow","0200805_I_IrrigDemand","0200805_I_IrrigSupply","0200805_I_IrrigShortage","0200805_I_IrrigSupDirectFlow","0200825_I_IrrigDemand","0200825_I_IrrigSupply","0200825_I_IrrigShortage","0200825_I_IrrigSupDirectFlow","0200837_I_IrrigDemand","0200837_I_IrrigSupply","0200837_I_IrrigShortage","0200837_I_IrrigSupDirectFlow","0200826_IrrigDemand","0200826_IrrigSupply","0200826_IrrigShortage","0200826_IrrigSupDirectFlow","0200915_IrrigDemand","0200915_IrrigSupply","0200915_IrrigShortage","0200915_IrrigSupDirectFlow","0200834_I_IrrigDemand","0200834_I_IrrigSupply","0200834_I_IrrigShortage","0200834_I_IrrigSupDirectFlow","0200812_I_IrrigDemand","0200812_I_IrrigSupply","0200812_I_IrrigShortage","0200812_I_IrrigSupDirectFlow","0200821_IrrigDemand","0200821_IrrigSupply","0200821_IrrigShortage","0200821_IrrigSupDirectFlow","0200822_IrrigDemand","0200822_IrrigSupply","0200822_IrrigShortage","0200822_IrrigSupDirectFlow","0203876_I_IrrigDemand","0203876_I_IrrigSupply","0203876_I_IrrigShortage","0203876_I_IrrigSupDirectFlow","0200836_IrrigDemand","0200836_IrrigSupply","0200836_IrrigShortage","0200836_IrrigSupDirectFlow","0200813_I_IrrigDemand","0200813_I_IrrigSupply","0200813_I_IrrigShortage","0200813_I_IrrigSupDirectFlow","0200830_IrrigDemand","0200830_IrrigSupply","0200830_IrrigShortage","0200830_IrrigSupDirectFlow","0200828_I_IrrigDemand","0200828_I_IrrigSupply","0200828_I_IrrigShortage","0200828_I_IrrigSupDirectFlow","02_ADP003_IrrigDemand","02_ADP003_IrrigSupply","02_ADP003_IrrigShortage","02_ADP003_IrrigSupDirectFlow","0200871_IrrigDemand","0200871_IrrigSupply","0200871_IrrigShortage","0200871_IrrigSupDirectFlow","0200874_IrrigDemand","0200874_IrrigSupply","0200874_IrrigShortage","0200874_IrrigSupDirectFlow","02_Nglenn_I_MunDemand","02_Nglenn_I_MunSupply","02_Nglenn_I_MunShortage","02_Nglenn_O_MunDemand","02_Nglenn_O_MunSupply","02_Nglenn_O_MunShortage","02_Thorn_I_MunDemand","02_Thorn_I_MunSupply","02_Thorn_I_MunShortage","02_Thorn_O_MunDemand","02_Thorn_O_MunSupply","02_Thorn_O_MunShortage","02_Westy_I_MunDemand","02_Westy_I_MunSupply","02_Westy_I_MunShortage","02_Westy_O_MunDemand","02_Westy_O_MunSupply","02_Westy_O_MunShortage"
"1971-08",85952.9999,82633.5038,5499.1452,6147.0006,5906.64,5906.64,0,9920,10549.4463,0,0,408,408.2692,0,408,3142.0002,3344.5908,0,3142.0002,1432.9999,1479.5795,0,0,7454,7454,1e-04,0,3011.9998,3403.019,0,0,4486.0005,4928.8379,0,0,512,512.0001,0,512.0001,10954,10954,0,0,4458,4539.6533,0,0,939,939,0,0,321,321,0,321,2301,650.9149,1650.0851,0,6900,6900.0005,0,0,3213.9998,3313.3401,0,0,1476,1476,0,1e-04,2280,2280,0,1e-04,6166.9995,6442.7852,0,0,1007,1007,0,1007,3667,3667.0442,0,0,2141,2141.0002,0,1e-04,4963,4963.0459,0,0,522,522,0,522,4041.0002,191.9397,3849.0601,0,235,245.0371,0,235,219.15,219.15,0,446.7,446.7,0,910.33,910.33,0,1855.55,1855.55,0,782.0699,782.0699,0,1692.84,1692.84,0
"1971-09",18949.0001,19180.1413,344.7144,1632.0004,4966.63,4966.63,1e-04,2158,2297.1086,0,0,90,90.0944,0,90,883.9999,883.9999,0,883.9999,370,370,0,0,503.0001,503.0001,0,0,590.0001,633.8651,0,0,1191,1257.8737,0,0,111,111,0,111,3520,3520,0,0,927,938.2512,0,0,221,221,0,0,77,77,0,77,668,673.7511,0,0,1537,1537,0,0,721,721,0,0,352,352,0,1e-04,410,410,0,3e-04,912.0001,1220.892,0,0,283,283,0,283,842,842.0089,0,0,371,371,0,1e-04,1347,1347.0107,0,0,133,133,0,133,677,332.2856,344.7144,0,54,54,0,54,219.15,219.15,0,341.6,341.6,0,910.3301,910.33,1e-04,1418.95,1418.95,0,782.07,782.07,0,1294.53,1294.53,0
"1971-10",10164.9999,10341.3202,510.6371,1047.0004,3556.5899,3556.59,0,1400.9999,1514.7651,0,0,105,105.0919,0,105,590,666.3034,0,590,238,238,0,0,704,704,0,0,330,386.3188,0,0,1028,1160.103,0,0,125,125,0,125,872,872.0001,0,0,475,515.6188,0,0,120,134.4,0,0,67,70.82,0,67,664,664,0,0,514,533.3414,0,0,426,524.2797,0,0,148,171.5052,0,1e-04,261,281.9263,0,3e-04,375,392.4978,0,0,67,76.85,0,67,309,340.7506,0,0,115,125.5531,0,1e-04,348,359.3615,0,0,38,44.4705,0,38,790,279.3629,510.6371,0,55,55,0,55,219.15,219.15,0,183.94,183.94,0,910.33,910.33,0,764.05,764.05,0,782.0699,782.0699,0,697.05,697.05,0
"1971-11",0,0,0,0,1911.5501,1911.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.3301,910.3301,0,0,0,0,782.07,782.07,0,0,0,0
"1971-12",0,0,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1972-01",162,162,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1972-02",1809.9999,1809.9999,0,0,1911.5499,1911.5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809.9999,1809.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.07,782.07,0,0,0,0
"1972-03",7046.0001,7616.9004,466,603.1727,1911.55,1911.55,0,1197,1259.6412,0,0,65,65,0,65,358,404.2244,0,358,145,168.7271,0,0,762,799.1769,0,0,262,306.6956,0,0,692,780.9915,0,0,67,67,0,20.1725,0,506,0,0,397,430.9732,0,0,82,91.64,0,0,45,47.7,0,45,466,0,466,0,394,408.8082,0,0,292,359.4968,0,0,100,115.6927,0,1e-04,181,195.6629,0,1e-04,321,335.7839,0,0,55,63.25,0,55,221,243.5907,0,0,93,101.8981,0,1e-04,294,303.2814,0,0,27,31.5448,0,27,497,497.1209,0,0,33,33,0,33,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1972-04",35911.9996,37221.0129,0,2931.1798,4026.6001,4026.6001,0,6427,6427,0,0,214,214,0,214,1921,1921,0,1921,745,745,0,0,3611,3611,0,0,2300,2300.0122,0,0,4414.9995,4414.9995,0,0,250,250,0,58.91,704,1973.1189,0,0,1646,1646,0,0,238,238,0,0,102,102,0,102,1820,1820.0001,0,0,2888.9998,2888.9998,0,0,1361,1361,0,0,313,313,0,1e-04,718,718,0,1e-04,2005.0001,2026.4259,0,0,150,160.5,0,150,971.0001,971.0104,0,0,265,265,0,0,1518.0001,1518.0094,0,0,96,100.9955,0,96,1142,1144.9412,0,298.2696,91,91,0,91,219.15,219.15,0,236.49,236.49,0,910.3301,910.3301,0,982.35,982.35,0,782.07,782.07,0,896.21,896.21,0
"1972-05",67485.0001,66389.4371,1833.5765,5725.0007,5436.63,5436.6301,1e-04,9381,9752.5381,0,0,517,517,0,517,3351.0002,3351.0002,0,3351.0002,1121,1121,0,0,5138,5164.3955,0,0,4586,4586.0283,0,0,4674,4674,0,0,459,469.926,0,459,3003,3003,0,0,3676,3676,0,0,622,622,0,0,188,188,0,188,2911.9998,3073.4646,0,0,5510,5510,4e-04,0,3257,3257,0,0,1081,1081.0001,0,1e-04,2203.0002,2203.0002,1e-04,2e-04,4136,4299.7007,0,0,555.0001,555.0001,0,555.0001,2974,2974.0259,0,0,664,663.9999,1e-04,1e-04,3533,3533.0137,0,0,328,328,0,328,3407.9998,1574.4238,1833.576,119,208,211.92,0,208,219.15,219.15,0,394.15,394.15,0,910.33,910.33,0,1637.25,1637.25,1e-04,782.0699,782.0699,0,1493.6801,1493.6802,0
"1972-06",60889.0004,65098.5997,4e-04,4911.4352,6376.6604,6376.6602,2e-04,8608,9899.8838,0,0,433,468.0422,0,433,2427,2583.6982,0,2427,867,888.0687,0,0,4024.0005,5272.7905,0,0,2917,3056.5012,0,0,3637,4045.7478,0,0,408,438.574,0,408,6281,6280.9995,3e-04,0,3049,3049.0005,0,0,662,662,0,0,219,219,0,219,2405,2723.2595,0,0,4423,4423.0005,0,0,2648,2668.3101,0,0,845,845,0,1e-04,1726,1726,0,3e-04,4586,5116.5234,0,0,542.9999,542.9999,0,542.9999,2698,2698.03,0,0,762.0001,762,1e-04,1e-04,2700,2700.022,0,0,335,335,0,335,3496,3500.6577,0,356.4349,190,193.49,0,190,219.15,219.15,0,499.26,499.26,0,910.3301,910.3301,0,2073.8503,2073.8501,2e-04,782.07,782.07,0,1892,1892,0
"1972-07",91793.9983,89048.6482,4957.5267,6391.0004,6611.6599,6611.6599,0,11519.999,12278.002,0,0,438,438.3803,0,438,3304,3516.9492,0,3304,1585,1610.8776,0,0,7353,7393.2295,0,0,3329.9998,3795.5813,0,0,5338,5766.4185,0,0,505,505,0,505,11145,11145,0,0,4643,4813.2817,0,0,1046,956.5193,89.4807,0,348,348,0,348,2675,623.915,2051.0852,0,7635,7634.9995,7e-04,0,3488,3568.9006,0,0,1397.9999,1397.9999,0,0,2342.0002,2342.0002,0,1e-04,6226.9995,6256.4526,0,0,1047,1047,0,1047,4074,4074.0479,0,0,2339,2339,0,1e-04,5448.9995,5449.0532,0,0,500.0001,500.0001,0,500.0001,3816.0002,999.0399,2816.9602,0,249,249,0,249,219.15,219.15,0,525.53,525.53,0,910.33,910.33,0,2183,2183,0,782.0699,782.0699,0,1991.58,1991.58,0
"1972-08",64461.9987,63320.9191,2681.7286,4324.0004,5906.64,5906.64,0,7289.0005,7780.7192,0,0,275,275.2407,0,275,2189,2330.2534,0,2189,1002.0001,1034.6832,0,0,5264,5264,1e-04,0,2160,2440.269,0,0,3175.9998,3492.6602,0,0,344,344,0,344,10037.999,10037.999,0,0,3290.9998,3351.3848,0,0,691,691,0,0,224,224,0,224,1567,1567.0001,0,0,5180,5180,0,0,2263,2332.8875,0,0,1058,1058.0001,0,1e-04,1629.0001,1629.0001,1e-04,2e-04,4700,4847.4819,0,0,756,756,0,756,2642,2642.0317,0,0,1637,1637,0,1e-04,3864.9998,3865.0364,0,0,375,375,0,375,2685.9998,4.2716,2681.7285,0,161,161,0,161,219.15,219.15,0,446.7,446.7,0,910.33,910.33,0,1855.55,1855.55,0,782.0699,782.0699,0,1692.84,1692.84,0
"1972-09",40572.0005,39806.4577,1334.7743,4027.4354,4966.63,4966.63,1e-04,4860.0005,5140.7046,0,0,210,210.2151,0,210,1984,1984,0,1984,766,766,0,0,2737,2737,0,0,1503,1615.0022,0,0,2387,2521.2288,0,0,268,268,0,268,4409,4409,0,0,2132,2158.0938,0,0,421,421,0,0,193,193,0,193,1308,1323.9141,0,0,3017,3017.0002,0,0,1764,1764.031,0,0,842,842,0,1e-04,1055,1055,0,3e-04,2484,2484,0,0,570,570,0,570,1950,1950.0206,0,0,797,797,0,1e-04,2772,2772.0217,0,0,325,325,0,325,1697,362.2256,1334.7743,356.4349,121,121,0,121,219.15,219.15,0,341.6,341.6,0,910.3301,910.33,1e-04,1418.95,1418.95,0,782.07,782.07,0,1294.53,1294.53,0
"1972-10",16092.0001,16262.3745,921.0484,1536.0004,3556.5899,3556.5899,1e-04,3064,3252.1675,0,0,135,135.1182,0,135,869,981.3171,0,869,280,325.2317,0,0,1481,1481,0,0,659,771.158,0,0,1444,1629.3202,0,0,168,168,0,168,918,918.0001,0,0,611.9999,664.2363,0,0,133,149.16,0,0,68,72.28,0,68,856,856,0,0,700.0001,726.4433,0,0,608,747.9249,0,0,155,179.1237,0,1e-04,384,415.0281,0,2e-04,1221,1276.161,0,0,70,80.5,0,70,500.0001,551.494,0,0,126,137.8455,0,1e-04,414,427.2819,0,0,68,79.6315,0,68,1087,165.9517,921.0484,86,72,72,0,72,219.15,219.15,0,183.94,183.94,0,910.33,910.3301,0,764.05,764.0499,1e-04,782.0699,782.0699,0,697.05,697.05,0
"1972-11",251,251,0,0,1911.5501,1911.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.3301,910.3301,0,0,0,0,782.07,782.07,0,0,0,0
"1972-12",0,0,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1973-01",0,0,0,0,1911.55,1911.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.0699,782.0699,0,0,0,0
"1973-02",0,0,0,0,1911.5499,1911.5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.15,219.15,0,0,0,0,910.33,910.33,0,0,0,0,782.07,782.07,0,0,0,0
