"Date","80_AGG_IrrigDemand","80_AGG_IrrigSupply","80_AGG_IrrigShortage","80_AGG_IrrigSupDirectFlow","80_AGG_MunDemand","80_AGG_MunSupply","80_AGG_MunShortage","8000774_D_IrrigDemand","8000774_D_IrrigSupply","8000774_D_IrrigSupply_1","8000774_D_IrrigShortage","8000774_D_IrrigShortage_1","8000774_D_IrrigSupDirectFlow","8000774_D_IrrigSupDirectFlow_1","8000732_D_IrrigDemand","8000732_D_IrrigSupply","8000732_D_IrrigSupply_1","8000732_D_IrrigShortage","8000732_D_IrrigShortage_1","8000732_D_IrrigSupDirectFlow","8000732_D_IrrigSupDirectFlow_1","8000812_IrrigDemand","8000812_IrrigDemand_1","8000812_IrrigSupply","8000812_IrrigSupply_1","8000812_IrrigShortage","8000812_IrrigShortage_1","8000812_IrrigSupDirectFlow","8000812_IrrigSupDirectFlow_1","8000799_D_IrrigDemand","8000799_D_IrrigSupply","8000799_D_IrrigSupply_1","8000799_D_IrrigShortage","8000799_D_IrrigShortage_1","8000799_D_IrrigSupDirectFlow","8000799_D_IrrigSupDirectFlow_1","8000662_D_IrrigDemand","8000662_D_IrrigDemand_1","8000662_D_IrrigSupply","8000662_D_IrrigSupply_1","8000662_D_IrrigShortage","8000662_D_IrrigShortage_1","8000662_D_IrrigSupDirectFlow","8000662_D_IrrigSupDirectFlow_1","8000794_IrrigDemand","8000794_IrrigDemand_1","8000794_IrrigSupply","8000794_IrrigSupply_1","8000794_IrrigShortage","8000794_IrrigShortage_1","8000794_IrrigSupDirectFlow","8000794_IrrigSupDirectFlow_1","8000651_IrrigDemand","8000651_IrrigDemand_1","8000651_IrrigSupply","8000651_IrrigSupply_1","8000651_IrrigShortage","8000651_IrrigShortage_1","8000651_IrrigSupDirectFlow","8000651_IrrigSupDirectFlow_1","8000657_D_IrrigDemand","8000657_D_IrrigDemand_1","8000657_D_IrrigSupply","8000657_D_IrrigSupply_1","8000657_D_IrrigShortage","8000657_D_IrrigShortage_1","8000657_D_IrrigSupDirectFlow","8000657_D_IrrigSupDirectFlow_1","8000673_D_IrrigDemand","8000673_D_IrrigDemand_1","8000673_D_IrrigSupply","8000673_D_IrrigSupply_1","8000673_D_IrrigShortage","8000673_D_IrrigShortage_1","8000673_D_IrrigSupDirectFlow","8000673_D_IrrigSupDirectFlow_1","8000784_IrrigDemand","8000784_IrrigDemand_1","8000784_IrrigSupply","8000784_IrrigSupply_1","8000784_IrrigShortage","8000784_IrrigShortage_1","8000784_IrrigSupDirectFlow","8000784_IrrigSupDirectFlow_1","8000713_IrrigDemand","8000713_IrrigDemand_1","8000713_IrrigSupply","8000713_IrrigSupply_1","8000713_IrrigShortage","8000713_IrrigShortage_1","8000713_IrrigSupDirectFlow","8000713_IrrigSupDirectFlow_1","8000829_D_IrrigDemand","8000829_D_IrrigDemand_1","8000829_D_IrrigSupply","8000829_D_IrrigSupply_1","8000829_D_IrrigShortage","8000829_D_IrrigShortage_1","8000829_D_IrrigSupDirectFlow","8000829_D_IrrigSupDirectFlow_1","8000759_IrrigDemand","8000759_IrrigDemand_1","8000759_IrrigSupply","8000759_IrrigSupply_1","8000759_IrrigShortage","8000759_IrrigShortage_1","8000759_IrrigSupDirectFlow","8000759_IrrigSupDirectFlow_1","8000792_IrrigDemand","8000792_IrrigDemand_1","8000792_IrrigSupply","8000792_IrrigSupply_1","8000792_IrrigShortage","8000792_IrrigShortage_1","8000792_IrrigSupDirectFlow","8000792_IrrigSupDirectFlow_1","8000667_IrrigDemand","8000667_IrrigDemand_1","8000667_IrrigSupply","8000667_IrrigSupply_1","8000667_IrrigShortage","8000667_IrrigShortage_1","8000667_IrrigSupDirectFlow","8000667_IrrigSupDirectFlow_1","8000831_D_IrrigDemand","8000831_D_IrrigDemand_1","8000831_D_IrrigSupply","8000831_D_IrrigSupply_1","8000831_D_IrrigShortage","8000831_D_IrrigShortage_1","8000831_D_IrrigSupDirectFlow","8000831_D_IrrigSupDirectFlow_1","8000650_IrrigDemand","8000650_IrrigDemand_1","8000650_IrrigSupply","8000650_IrrigSupply_1","8000650_IrrigShortage","8000650_IrrigShortage_1","8000650_IrrigSupDirectFlow","8000650_IrrigSupDirectFlow_1","80_ADP001_IrrigDemand","80_ADP001_IrrigDemand_1","80_ADP001_IrrigSupply","80_ADP001_IrrigSupply_1","80_ADP001_IrrigShortage","80_ADP001_IrrigShortage_1","80_ADP001_IrrigSupDirectFlow","80_ADP001_IrrigSupDirectFlow_1","8000760_IrrigDemand","8000760_IrrigDemand_1","8000760_IrrigSupply","8000760_IrrigSupply_1","8000760_IrrigShortage","8000760_IrrigSupDirectFlow","8000760_IrrigSupDirectFlow_1","8000761_IrrigDemand","8000761_IrrigDemand_1","8000761_IrrigSupply","8000761_IrrigSupply_1","8000761_IrrigShortage","8000761_IrrigShortage_1","8000761_IrrigSupDirectFlow","8000761_IrrigSupDirectFlow_1","8000785_IrrigDemand","8000785_IrrigDemand_1","8000785_IrrigSupply","8000785_IrrigSupply_1","8000785_IrrigShortage","8000785_IrrigShortage_1","8000785_IrrigSupDirectFlow","8000785_IrrigSupDirectFlow_1","80_AMP001_I_MunDemand","80_AMP001_I_MunDemand_1","80_AMP001_I_MunSupply","80_AMP001_I_MunSupply_1","80_AMP001_I_MunShortage","80_AMP001_I_MunShortage_1","80_AMP001_O_MunDemand","80_AMP001_O_MunDemand_1","80_AMP001_O_MunSupply","80_AMP001_O_MunSupply_1","80_AMP001_O_MunShortage","80_AMP001_O_MunShortage_1"
"1971-08",1736,1978.0643,12.997,1643.003,1005.6001,1005.6001,0,11,0,11.192,0,0,11,11,120,29,29,0,0,29,29,8,8,8,8,0,0,8,8,9,9,9,0,0,9,9,43,43,43,43,0,0,43,43,13,13,13.058,13.058,0,0,13,13,2,0,2,2,0,0,2,2,27,27,27,27,0,0,27,27,34,34,35.028,206.6667,0,0,34,34,27,27,27,27,0,0,27,27,8,8,8,8,0,0,8,8,46,46,48.264,48.264,0,0,46,46,18,18,18,18,0,0,18,18,26,26,22.7507,22.7507,3.2493,3.2493,22.7507,22.7507,16,16,16,16,0,0,16,16,27,27,27,27,0,0,27,27,4,4,4,4,0,0,4,4,46,46,46,46,0,0,46,46,8,8,8,8,0,8,8,8,8,8,8,0,0,8,8,4,4,4,4,0,0,4,4,75.16,75.16,75.16,75.16,0,0,176.24,176.24,176.24,176.24,0,0
"1971-09",1014.3871,1002.44,0,1080,839.72,839.72,0,7,7.304,0,0,0,7,7,11,11,11,0,0,11,11,0.9677,5,5.15,5.15,0,0,5,5,0,5.15,5.15,0,0,5,5,30,30,30,30,0,0,30,30,10,10,10,10,0,0,10,10,0,0,0,0,0,0,0,0,18,18,18,18,0,0,18,18,24,23.2258,24.608,24.608,0,0,24,24,18,18,18,18,0,0,18,18,7,7,7,7,0,0,7,7,29,29,0,31.036,0,0,29,29,13,13,13,13,0,0,13,13,16,16,16,16,0,0,16,16,9,9,9.032,9.032,0,0,9,9,21,21,21,21,0,0,21,21,2,2,2,2,0,0,2,2,31,31,31,31,0,0,31,31,5,5,5,5,0,5,5,7,7,7,0,0,0,7,7,2,2,2,2,0,0,2,2,75.16,75.16,75.16,75.16,0,0,134.77,134.77,134.77,134.77,0,0
"1971-10",232,264.812,0,284,457.2426,590.9201,0,3,3.416,3.416,0,0,3,3,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,7,7,7.178,7.178,0,0,7,7,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,5,5,5.21,5.21,0,0,5,5,17,0,17.514,17.514,0,0,17,17,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,7,7,0,7.388,0,0,7,7,2,2,2,2,0,0,2,2,2,2,2,2,0,0,2,2,3,3,3.344,3.344,0,0,3,3,7,7,7.094,0,0,0,7,7,0,0,0,0,0,0,0,0,10,10,10.3,10.3,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3213,75.16,75.16,75.16,0,0,72.57,72.57,72.57,72.57,0,0
"1971-11",29.3548,0,0,145.1613,300.64,150.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5807,0,0,0,0,0,0,0,0,9.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,0,75.16,0,0,0,0,0,0,0,0
"1971-12",0,274.8667,0,0,300.64,300.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.4333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1972-01",24,19.1125,0,0,300.64,300.64,0,0,0,9.5563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1972-02",0,41.0667,0,0,300.64,300.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.16,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1972-03",0,6.832,0,0,165.352,300.64,0,0,0,3.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.516,75.16,75.16,75.16,0,0,0,0,0,0,0,0
"1972-04",560,580.96,0,580,538.0671,673.84,0,3,3,3,0,0,3,3,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,4,4,4,0,0,4,4,32,32,32,32,0,0,32,32,5,5,5,5,0,0,5,5,0,0,0,0,0,0,0,0,16,16,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,0,0,29,29,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,5,5,5.24,5.24,0,0,5,5,13,13,13,13,0,0,13,13,0,0,0,0,0,0,0,0,31,31,31,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2735,75.16,75.16,75.16,0,0,93.3,93.3,93.3,93.3,0,0
"1972-05",4696,5028.498,235.5019,5022.3296,922.68,922.68,0,37,37,37,0,0,37,37,150,150,150,0,0,150,150,30,30,30,30,0,0,30,30,70,70,70,0,0,70,70,121,121,121,121,0,0,121,121,36,36,19.3738,19.3738,16.6262,16.6262,17.8317,17.8317,6,6,6,6,0,0,6,6,89,89,89,89,0,0,89,89,107,107,107,107,0,0,107,107,127,127,127,127,0,0,127,127,15,15,15,15,0,0,15,15,103,103,103,103,0,0,103,103,53,53,53,53,0,0,53,53,65,65,22.7507,22.7507,42.2493,42.2493,22.7507,22.7507,43,43,43,43,0,0,43,43,77,77,77,77,0,0,77,77,10,10,10,10,0,0,10,10,100,100,100,100,0,0,100,100,36,36,36,36,0,36,36,30,3,30,30,0,0,30,30,11,11,11,11,0,0,11,11,75.16,75.16,75.16,75.16,0,0,155.51,155.51,155.51,155.51,0,0
