"Date","43_AGG_IrrigDemand","43_AGG_IrrigSupply","43_AGG_IrrigShortage","43_AGG_IrrigSupDirectFlow","43_AGG_MunDemand","43_AGG_MunSupply","43_AGG_MunShortage","4300527_D_IrrigDemand","4300527_D_IrrigSupply","4300527_D_IrrigShortage","4300527_D_IrrigSupDirectFlow","4300537_D_IrrigDemand","4300537_D_IrrigSupply","4300537_D_IrrigShortage","4300537_D_IrrigSupDirectFlow","4300578_D_IrrigDemand","4300578_D_IrrigSupply","4300578_D_IrrigShortage","4300578_D_IrrigSupDirectFlow","43_ADW001_IrrigDemand","43_ADW002_IrrigDemand","43_ADW003_IrrigDemand","43_ADW004_IrrigDemand","43_ADW005_IrrigDemand","43_ADW006_IrrigDemand","43_ADW007_IrrigDemand","43_ADW008_IrrigDemand","43_ADW009_IrrigDemand","43_ADW010_IrrigDemand","43_ADW012_IrrigDemand","43_ADW013_IrrigDemand","43_ADW014_IrrigDemand","43_ADW015_IrrigDemand","43_ADW016_IrrigDemand","43_ADW001_IrrigSupply","43_ADW002_IrrigSupply","43_ADW003_IrrigSupply","43_ADW004_IrrigSupply","43_ADW005_IrrigSupply","43_ADW006_IrrigSupply","43_ADW007_IrrigSupply","43_ADW008_IrrigSupply","43_ADW009_IrrigSupply","43_ADW010_IrrigSupply","43_ADW012_IrrigSupply","43_ADW013_IrrigSupply","43_ADW014_IrrigSupply","43_ADW015_IrrigSupply","43_ADW016_IrrigSupply","43_ADW001_IrrigShortage","43_ADW002_IrrigShortage","43_ADW003_IrrigShortage","43_ADW004_IrrigShortage","43_ADW005_IrrigShortage","43_ADW006_IrrigShortage","43_ADW007_IrrigShortage","43_ADW008_IrrigShortage","43_ADW009_IrrigShortage","43_ADW010_IrrigShortage","43_ADW012_IrrigShortage","43_ADW013_IrrigShortage","43_ADW014_IrrigShortage","43_ADW015_IrrigShortage","43_ADW016_IrrigShortage","43_ADW001_IrrigSupDirectFlow","43_ADW002_IrrigSupDirectFlow","43_ADW003_IrrigSupDirectFlow","43_ADW004_IrrigSupDirectFlow","43_ADW005_IrrigSupDirectFlow","43_ADW006_IrrigSupDirectFlow","43_ADW007_IrrigSupDirectFlow","43_ADW008_IrrigSupDirectFlow","43_ADW009_IrrigSupDirectFlow","43_ADW010_IrrigSupDirectFlow","43_ADW012_IrrigSupDirectFlow","43_ADW013_IrrigSupDirectFlow","43_ADW014_IrrigSupDirectFlow","43_ADW015_IrrigSupDirectFlow","43_ADW016_IrrigSupDirectFlow","4300815_D_IrrigDemand","4300815_D_IrrigSupply","4300815_D_IrrigShortage","4300815_D_IrrigSupDirectFlow","4300819_D_IrrigDemand","4300819_D_IrrigSupply","4300819_D_IrrigShortage","4300819_D_IrrigSupDirectFlow","4300694_D_IrrigDemand","4300694_D_IrrigSupply","4300694_D_IrrigShortage","4300694_D_IrrigSupDirectFlow","4300564_MunDemand","4300564_MunSupply","4300564_MunShortage","4303633_F_MunDemand","4303633_F_MunSupply","4303633_F_MunShortage","4303633_O_MunDemand","4303633_O_MunSupply","4303633_O_MunShortage","4306045_MunDemand","4306045_MunSupply","4306045_MunShortage","43_OilDem_MunDemand","43_OilDem_MunSupply","43_OilDem_MunShortage","4302571_MunDemand","4302571_MunSupply","4302571_MunShortage","4304313_O_MunDemand","4304313_O_MunSupply","4304313_O_MunShortage","43_AMW001_MunDemand","43_AMW001_MunSupply","43_AMW001_MunShortage"
"1971-10",7075.0003,7075.0025,0,7075.0003,43643,31008.1816,12634.8184,666,666,0,666,20,20,0,20,106,106,0,106,530,76,200,65,52,37,35,116,340,300,56,114,208,88,371,530,76,200,65,52,37,35,116,340,300,56,114,208,88,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,76,200,65,52,37,35,116,340,300,56,114,208,88,371,100,100,0,100,1595,1595.0022,0,1595,2000.0002,2000.0002,0,2000.0002,48,48,0,0,0,0,0,0,0,31,31,0,0,0,0,43472,30837.1816,12634.8184,0,0,0,92,92,0
"1971-11",341,341,0,341,42217.9961,29342.4219,12875.5752,125,125,0,125,0,0,0,0,0,0,0,0,2,0,70,1,1,1,8,82,0,24,1,2,3,1,20,2,0,70,1,1,1,8,82,0,24,1,2,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,70,1,1,1,8,82,0,24,1,2,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,20,20,0,0,0,0,42069.9961,29194.4219,12875.5752,0,0,0,92,92,0
"1971-12",200,200,0,200,43625,30270.9434,13354.0586,92,92,0,92,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,81,0,0,0,0,6,0,6,0,0,14,0,0,0,1,81,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,81,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,30117.9434,13354.0586,0,0,0,92,92,0
"1972-01",289,289,0,289,43625,26458.1055,17166.8945,103,103,0,103,0,0,0,0,0,0,0,0,3,0,69,0,0,0,3,97,0,0,0,0,4,0,10,3,0,69,0,0,0,3,97,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,69,0,0,0,3,97,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,26305.1055,17166.8945,0,0,0,92,92,0
"1972-02",256,256,0,256,39414,26044.043,13369.958,173,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1,0,0,5,0,5,0,0,0,0,0,0,0,72,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,23,23,0,0,0,0,39265,25895.043,13369.958,0,0,0,92,92,0
"1972-03",952,952,0,952,43625,29040.3887,14584.6133,138,138,0,138,0,0,0,0,69,69,0,69,1,0,0,119,103,0,67,8,362,72,1,0,6,0,6,1,0,0,119,103,0,67,8,362,72,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119,103,0,67,8,362,72,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,28887.3887,14584.6133,0,0,0,92,92,0
"1972-04",4524.9999,4395.3955,130.287,4394.713,42221.9961,35662.6172,6559.3804,179,179,0,179,32,32,0,32,420,420,0,420,31,8,75,310,375,67,285,33,279,407,157,225,100,29,146,31,8.68,75,310,375,67,154.713,33,279,407,157,225,100,29,146,0,0,0,0,0,0,130.287,0,0,0,0,0,0,0,0,31,8,75,310,375,67,154.713,33,279,407,157,225,100,29,146,50,50,0,50,467,467.0025,0,467,849.9999,849.9999,0,849.9999,36,36,0,0,0,0,0,0,0,24,24,0,0,0,0,42069.9961,35510.6172,6559.3804,0,0,0,92,92,0
"1972-05",22018.9994,21067.8926,951.1232,21062.2062,43634,43634,0,650,650,0,650,220,220,0,220,1037.9999,1037.9999,0,1037.9999,342,1738,691,913,859,173,460,176,741.0001,1214,560,1338,849.9999,171,1112,342,1738,691.0001,913.0001,859.0001,173,165.5402,122.977,552.009,799.3505,560,1338,849.9999,171,1112.0001,0,0,0,0,0,0,294.4598,53.023,188.991,414.6494,0,0,0,0,0,342,1738,691.0001,913.0001,859.0001,173,159.8701,122.977,552.009,799.3505,560,1338,849.9999,171,1112.0001,155,155,0,155,3785,3785.0164,0,3785,4832.9995,4832.9995,0,4832.9995,40,40,0,0,0,0,0,0,0,30,30,0,0,0,0,43472,43472,0,0,0,0,92,92,0
"1972-06",40468.9999,37810.2812,2658.7556,37714.7801,42232.9961,42232.9961,0,1400,1400,0,1400,2225,2225,0,2225,1196,1196,0,1196,1255,3120,2366,883.9999,790,104,403,205,1004,1631,741,1533,1014,228,2257,1255,2010.0787,2366.0002,884,790,104,224.168,138.7446,551.4131,779.8399,741,1533,1014,228,2257,0,1109.9211,0,0,0,0,178.832,66.2554,452.5869,851.1602,0,0,0,0,0,1255,2010.0787,2366.0002,884,790,104,154.713,119.01,551.4131,773.565,741,1533,1014,228,2257,263,263,0,263,7094,7094.0366,0,7094,10756,10756,0,10756,37,37,0,0,0,0,0,0,0,34,34,0,0,0,0,42069.9961,42069.9961,0,0,0,0,92,92,0
"1972-07",35150.9996,30497.2403,4764.016,30103.4854,43635,24549.4023,19085.5996,1800,876.2111,923.7889,876.2111,1981.0001,1276,705,1276,658,690.6799,0,658,1246.9999,2895.9998,2095,785,527,77,283,210,1000.0001,1507,627,1525.9999,1168.9999,202,1647,1247,2077.0813,2095,832.1,557.476,77,161.9824,140.5694,487.7923,576.1871,627,1525.9999,1168.9999,188.16,1647.0001,0,818.9184,0,0,0,0,121.0176,69.4306,512.2078,930.8129,0,0,0,13.84,0,1247,2077.0813,2095,785,527.0001,77,159.8701,122.977,473.4614,368.931,627,1525.9999,1168.9999,146,1647.0001,270,209.0609,60.9391,209.0609,6799.9995,6191.9395,608.0607,6191.8921,7844.0005,7844.0005,0,7844.0005,36,36,0,0,0,0,0,0,0,35,35,0,0,0,0,43472,24386.4023,19085.5996,0,0,0,92,92,0
"1972-08",28947.9998,27667.4373,1354.3909,27593.577,43635,18668.2266,24966.7754,1249.9999,876.2111,373.7888,876.2111,928,928,0,928,440,466.4,0,440,1135,2441,2049,440,358,45,120,91,582,769,350,859,717.9999,131,1439,1135,2077.0813,2049,466.4,379.0286,45,120,91,473.4614,368.931,350.0001,859,717.9999,131,1439.0001,0,363.9184,0,0,0,0,0,0,108.5385,400.069,0,0,0,0,0,1135,2077.0813,2049,440,358,45,120,91,473.4614,368.931,350,859,717.9999,131,1439.0001,145,145,0,145,6300,6191.9238,108.0761,6191.8921,8358,8358,0,8358,36,36,0,0,0,0,0,0,0,35,35,0,0,0,0,43472,18505.2266,24966.7754,0,0,0,92,92,0
"1972-09",18847.0005,18384.4264,493.0238,18353.9769,42230.9961,25205.5664,17025.4316,993.0001,847.9463,145.0538,847.9463,122,122,0,122,232,245.72,0,232,759.0001,481,992,275,207,53,93,100,430,705,225,938,656,110,1423.9999,759.0001,481,992,291.5,207.2134,53,93,100,430,357.03,225,938.0001,656,110,1424,0,0,0,0,0,0,0,0,0,347.97,0,0,0,0,0,759.0001,481,992,275,207,53,93,100,430,357.03,225,938.0001,656,110,1424,167,167,0,167,4285.0005,4285.0166,0,4285.0005,5600,5600,0,5600,35,35,0,0,0,0,0,0,0,34,34,0,0,0,0,42069.9961,25044.5664,17025.4316,0,0,0,92,92,0
"1972-10",4795.9999,4795.9999,0,4795.9999,43643,32905.9746,10737.0283,408,408,0,408,0,0,0,0,61,61,0,61,422,92,415,20,3,20,25,18,105,226,20,223,208,13,313,422,92,415,20,3,20,25,18,105,226,20,223,208,13,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,92,415,20,3,20,25,18,105,226,20,223,208,13,313,6,6,0,6,1397.9999,1397.9999,0,1397.9999,800,800,0,800,48,48,0,0,0,0,0,0,0,31,31,0,0,0,0,43472,32734.9746,10737.0283,0,0,0,92,92,0
"1972-11",195,195,0,195,42217.9961,28412.6387,13805.3613,0,0,0,0,0,0,0,0,2,2,0,2,2,0,70,2,3,1,8,47,6,24,1,2,3,4,20,2,0,70,2,3,1,8,47,6,24,1,2,3,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,70,2,3,1,8,47,6,24,1,2,3,4,20,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,20,20,0,0,0,0,42069.9961,28264.6387,13805.3613,0,0,0,92,92,0
"1972-12",129,129,0,129,43625,28663.7852,14961.2168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,92,0,0,10,0,6,0,6,0,0,14,0,0,0,1,92,0,0,10,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,92,0,0,10,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,28510.7852,14961.2168,0,0,0,92,92,0
"1973-01",134,134,0,134,43625,25311.1348,18313.8691,0,0,0,0,0,0,0,0,1,1,0,1,3,0,69,0,0,0,3,43,1,0,0,0,4,0,10,3,0,69,0,0,0,3,43,1,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,69,0,0,0,3,43,1,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,25158.1348,18313.8691,0,0,0,92,92,0
"1973-02",94,94,0,94,39414,22661.7734,16752.2246,0,0,0,0,0,0,0,0,1,1,0,1,3,0,62,0,0,0,4,9,2,0,0,0,3,0,10,3,0,62,0,0,0,4,9,2,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,62,0,0,0,4,9,2,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,23,23,0,0,0,0,39265,22512.7734,16752.2246,0,0,0,92,92,0
"1973-03",162,162,0,162,43625,25290.793,18334.209,0,0,0,0,0,0,0,0,3,3,0,3,3,0,59,3,15,0,8,16,4,19,18,0,4,0,10,3,0,59,3,15,0,8,16,4,19,18,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,59,3,15,0,8,16,4,19,18,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,24,24,0,0,0,0,43472,25137.793,18334.209,0,0,0,92,92,0
"1973-04",2375,2376.28,0,2375,42221.9961,30382.4961,11839.501,0,0,0,0,0,0,0,0,174,174,0,174,77,18,163,350,184,5,211,181,365,183,192,28,12,40,192,77,19.28,163,350,184,5,211,181,365,183,192,28,12,40,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,18,163,350,184,5,211,181,365,183,192,28,12,40,192,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,24,24,0,0,0,0,42069.9961,30230.4961,11839.501,0,0,0,92,92,0
"1973-05",23430.0004,23434.4359,0,23430.0005,43634,43634,0,600,600,0,600,205,205,0,205,1470.0001,1470.0001,0,1470.0001,345,227,700.0001,1271,714,92,1234.0001,316,922,1898,533.9999,2007,774,427,1586.0001,345,231.42,700.0001,1271,714,92,1234.0001,316,922,1898,533.9999,2007,774,427,1586.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,227,700.0001,1271,714,92,1234.0001,316,922,1898,533.9999,2007,774,427,1586.0002,171,171,0,171,3393,3393.0154,0,3393,4544,4544,0,4544,40,40,0,0,0,0,0,0,0,30,30,0,0,0,0,43472,43472,0,0,0,0,92,92,0
"1973-06",38311.0008,38311.0277,2e-04,38311.0013,42232.9961,42232.9961,0,1000.0001,1000.0001,0,1000.0001,2261,2260.9998,2e-04,2260.9998,1586,1586.0001,0,1586.0001,1417,1236,2421.0002,1082,1027,125,780,298,1406.9999,3337,613,1891.0001,1026,447,2596,1417.0001,1236.0001,2421.0005,1082,1027,125,780.0001,298,1406.9999,3337,613,1891.0001,1026,447.0001,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417.0001,1236.0001,2421.0005,1082,1027,125,780.0001,298,1406.9999,3337,613,1891.0001,1026,447.0001,2596,421,421,0,421,5651,5651.0264,0,5651,7689.0005,7689.0005,0,7689.0005,37,37,0,0,0,0,0,0,0,34,34,0,0,0,0,42069.9961,42069.9961,0,0,0,0,92,92,0
"1973-07",35067,35120.7383,13,35053.9997,43635,43635,0,1450.0001,1450.0001,0,1450.0001,2210,2197,13,2197,533.9999,560.64,0,533.9999,1403,1037,2305,667,611,61,244,180,1029,2464,510.0001,1734.9999,919,364,2390,1403,1037,2305.0002,706.82,611,61,244.24,180,1029,2464,510.0001,1734.9999,919,364,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,1037,2305.0002,667,611,61,244,180,1029,2464,510.0001,1734.9999,919,364,2390,220,220,0,220,6169,6169.0381,0,6168.9995,8565,8565,0,8565,36,36,0,0,0,0,0,0,0,35,35,0,0,0,0,43472,43472,0,0,0,0,92,92,0
"1973-08",25124,24838.7836,363.8659,24760.1033,43635,28614.3887,15020.6133,1200,876.2111,323.7889,876.2111,801,801,0,801,428,453.88,0,428,971,630,1550,425,350,43,115,86,1022,741.0001,342,1639,762.9999,212,1942,971,630,1550,450.5,370.369,43,121.9,86,1022,741.0001,342,1639,762.9999,212,1942.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,630,1550,425,350,43,115,86,1022,741.0001,342,1639,762.9999,212,1942.0001,106,106,0,106,6232,6191.9233,40.077,6191.8921,5526,5526,0,5526,36,36,0,0,0,0,0,0,0,35,35,0,0,0,0,43472,28451.3887,15020.6133,0,0,0,92,92,0
