"Date","78_AGG_IrrigDemand","78_AGG_IrrigSupply","78_AGG_IrrigShortage","78_AGG_IrrigSupDirectFlow","78_AGG_MunDemand","78_AGG_MunSupply","78_AGG_MunShortage","78_ADS004_IrrigDemand","78_ADS004_IrrigSupply","78_ADS004_IrrigShortage","78_ADS004_IrrigSupDirectFlow","7800692_MunDemand","7800692_MunSupply","7800692_MunShortage","7800562_MunDemand","7800562_MunSupply","7800562_MunShortage","7804672_MunDemand","7804672_MunSupply","7804672_MunShortage"
"1984-12",68,68,0,68,59,59,0,68,68,0,68,59,59,0,0,0,0,0,0,0
"1985-01",67,67,0,67,57,57,0,67,67,0,67,57,57,0,0,0,0,0,0,0
"1985-02",60,60,0,60,53,53,0,60,60,0,60,53,53,0,0,0,0,0,0,0
"1985-03",67,67,0,67,62,62,0,67,67,0,67,62,62,0,0,0,0,0,0,0
"1985-04",81,81,0,81,60,60,0,81,81,0,81,60,60,0,0,0,0,0,0,0
"1985-05",1585,1585.099,0,1585,313,313,0,1585,1585.099,0,1585,72,72,0,215,215,0,26,26,0
"1985-06",2319.9998,2320.198,0,2319.9998,636,636,0,2319.9998,2320.198,0,2319.9998,95,95,0,376,376,0,165,165,0
"1985-07",1900.0001,1900.0002,0,1900.0001,738.9999,738.9999,0,1900.0001,1900.0002,0,1900.0001,96,96,0,547.9999,547.9999,0,95,95,0
"1985-08",1200,1200.0001,0,1200,283,283,0,1200,1200.0001,0,1200,80,80,0,163,163,0,40,40,0
"1985-09",379,379,0,379,259,259,0,379,379,0,379,67,67,0,173,173,0,19,19,0
"1985-10",265,265,0,265,153,153,0,265,265,0,265,55,55,0,98,98,0,0,0,0
"1985-11",0,0,0,0,49,49,0,0,0,0,0,49,49,0,0,0,0,0,0,0
"1985-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1986-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
"1986-02",0,0,0,0,53,53,0,0,0,0,0,53,53,0,0,0,0,0,0,0
"1986-03",1,1,0,1,62,62,0,1,1,0,1,62,62,0,0,0,0,0,0,0
"1986-04",36,36,0,36,60,60,0,36,36,0,36,60,60,0,0,0,0,0,0,0
"1986-05",1567,1567,0,1567,311,311,0,1567,1567,0,1567,72,72,0,213,213,0,26,26,0
"1986-06",2209.0002,2209.1387,0,2209.0002,1208,1208,0,2209.0002,2209.1387,0,2209.0002,95,95,0,948,948,0,165,165,0
"1986-07",1539,1539.0001,0,1539,465,465,0,1539,1539.0001,0,1539,96,96,0,274,274,0,95,95,0
"1986-08",896.0001,896.1584,0,896.0001,398,398,0,896.0001,896.1584,0,896.0001,80,80,0,278,278,0,40,40,0
"1986-09",502,502,0,502,364,364,0,502,502,0,502,67,67,0,278,278,0,19,19,0
"1986-10",333,333,0,333,340,340,0,333,333,0,333,55,55,0,285,285,0,0,0,0
"1986-11",19,19,0,19,49,49,0,19,19,0,19,49,49,0,0,0,0,0,0,0
"1986-12",85,85,0,85,59,59,0,85,85,0,85,59,59,0,0,0,0,0,0,0
"1987-01",85,85,0,85,57,57,0,85,85,0,85,57,57,0,0,0,0,0,0,0
"1987-02",77,77,0,77,53,53,0,77,77,0,77,53,53,0,0,0,0,0,0,0
"1987-03",85,85,0,85,62,62,0,85,85,0,85,62,62,0,0,0,0,0,0,0
"1987-04",150,150,0,150,80,80.2,0,150,150,0,150,60,60,0,20,20.2,0,0,0,0
"1987-05",1239,1239.0001,0,1239,267,267,0,1239,1239.0001,0,1239,72,72,0,169,169,0,26,26,0
"1987-06",2098,2098.0791,0,2098,574,574,0,2098,2098.0791,0,2098,95,95,0,314,314,0,165,165,0
"1987-07",2025.9999,2025.9999,0,2025.9999,539,539,0,2025.9999,2025.9999,0,2025.9999,96,96,0,348,348,0,95,95,0
"1987-08",948,948.0792,0,948,426,426,0,948,948.0792,0,948,80,80,0,306,306,0,40,40,0
"1987-09",1102,1102.0001,0,1102,243,212.0827,30.9172,1102,1102.0001,0,1102,67,67,0,157,126.0827,30.9172,19,19,0
"1987-10",456,456,0,456,116,96.9695,19.0305,456,456,0,456,55,55,0,61,41.9695,19.0305,0,0,0
"1987-11",0,0,0,0,49,49,0,0,0,0,0,49,49,0,0,0,0,0,0,0
"1987-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1988-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
"1988-02",0,0,0,0,53,53,0,0,0,0,0,53,53,0,0,0,0,0,0,0
"1988-03",0,0,0,0,62,62,0,0,0,0,0,62,62,0,0,0,0,0,0,0
"1988-04",115,115,0,115,75,75,0,115,115,0,115,60,60,0,15,15,0,0,0,0
"1988-05",1679.9999,1679.9999,0,1679.9999,326,326,0,1679.9999,1679.9999,0,1679.9999,72,72,0,228,228,0,26,26,0
"1988-06",2200,2200,0,2200,788,788,0,2200,2200,0,2200,95,95,0,528,528,0,165,165,0
"1988-07",1606.0001,1606.0001,0,1606.0001,529,529,0,1606.0001,1606.0001,0,1606.0001,96,96,0,338,338,0,95,95,0
"1988-08",696.0001,696.1584,0,696.0001,214,214.24,0,696.0001,696.1584,0,696.0001,80,80,0,94,94.24,0,40,40,0
"1988-09",933,933.1782,0,933,212,212,0,933,933.1782,0,933,67,67,0,126,126,0,19,19,0
"1988-10",722,722.1188,0,722,153,153.08,0,722,722.1188,0,722,55,55,0,98,98.08,0,0,0,0
"1988-11",1,1,0,1,49,49,0,1,1,0,1,49,49,0,0,0,0,0,0,0
"1988-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1989-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
"1989-02",0,0,0,0,53,53,0,0,0,0,0,53,53,0,0,0,0,0,0,0
"1989-03",1,1,0,1,62,62,0,1,1,0,1,62,62,0,0,0,0,0,0,0
"1989-04",172,172.1188,0,172,84,84.04,0,172,172.1188,0,172,60,60,0,24,24.04,0,0,0,0
"1989-05",1748,1748.0792,0,1748,335,335.02,0,1748,1748.0792,0,1748,72,72,0,237,237.02,0,26,26,0
"1989-06",2426,2426,0,2426,757,757,0,2426,2426,0,2426,95,95,0,497,497,0,165,165,0
"1989-07",1846,1846.1584,0,1846,443,348,95,1846,1846.1584,0,1846,96,96,0,252,252,0,95,0,95
"1989-08",907,907.2179,0,907,244,244.04,0,907,907.2179,0,907,80,80,0,124,124.04,0,40,40,0
"1989-09",922,922.1188,0,922,212,194.9354,17.0646,922,922.1188,0,922,67,67,0,126,108.9354,17.0646,19,19,0
"1989-10",409,409.1386,0,409,111,111,0,409,409.1386,0,409,55,55,0,56,56,0,0,0,0
"1989-11",3,3,0,3,49,49,0,3,3,0,3,49,49,0,0,0,0,0,0,0
"1989-12",3,3,0,3,59,59,0,3,3,0,3,59,59,0,0,0,0,0,0,0
"1990-01",3,3,0,3,57,57,0,3,3,0,3,57,57,0,0,0,0,0,0,0
"1990-02",3,3,0,3,53,53,0,3,3,0,3,53,53,0,0,0,0,0,0,0
"1990-03",3,3,0,3,62,62,0,3,3,0,3,62,62,0,0,0,0,0,0,0
"1990-04",67,67,0,67,60,60,0,67,67,0,67,60,60,0,0,0,0,0,0,0
"1990-05",1319.9999,1320.198,0,1319.9999,381,381,0,1319.9999,1320.198,0,1319.9999,72,72,0,283,283,0,26,26,0
"1990-06",2370,2370.198,0,2370,615,615,0,2370,2370.198,0,2370,95,95,0,355,355,0,165,165,0
"1990-07",1704,1704.0001,0,1704,422,422.26,0,1704,1704.0001,0,1704,96,96,0,231,231.26,0,95,95,0
"1990-08",1061,1061.0593,0,1061,264,264.24,0,1061,1061.0593,0,1061,80,80,0,144,144.24,0,40,40,0
"1990-09",570,570.198,0,570,273,273,0,570,570.198,0,570,67,67,0,187,187,0,19,19,0
"1990-10",307,307.2178,0,307,168,168,0,307,307.2178,0,307,55,55,0,113,113,0,0,0,0
"1990-11",0,0,0,0,49,49,0,0,0,0,0,49,49,0,0,0,0,0,0,0
"1990-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1991-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
"1991-02",0,0,0,0,53,53,0,0,0,0,0,53,53,0,0,0,0,0,0,0
"1991-03",0,0,0,0,62,62,0,0,0,0,0,62,62,0,0,0,0,0,0,0
"1991-04",250,250,0,250,93,93.18,0,250,250,0,250,60,60,0,33,33.18,0,0,0,0
"1991-05",1431,1431.2574,0,1431,338,338,0,1431,1431.2574,0,1431,72,72,0,240,240,0,26,26,0
"1991-06",2231,2231.2576,0,2231,717,717,0,2231,2231.2576,0,2231,95,95,0,457,457,0,165,165,0
"1991-07",2018.9999,2018.9999,0,2018.9999,465,370.04,95,2018.9999,2018.9999,0,2018.9999,96,96,0,274,274.04,0,95,0,95
"1991-08",865,865,0,865,239,239,0,865,865,0,865,80,80,0,119,119,0,40,40,0
"1991-09",348,348.0792,0,348,132,132.16,0,348,348.0792,0,348,67,67,0,46,46.16,0,19,19,0
"1991-10",367,367,0,367,105,96.1979,8.8021,367,367,0,367,55,55,0,50,41.1979,8.8021,0,0,0
"1991-11",0,0,0,0,49,49,0,0,0,0,0,49,49,0,0,0,0,0,0,0
"1991-12",0,0,0,0,59,59,0,0,0,0,0,59,59,0,0,0,0,0,0,0
"1992-01",0,0,0,0,57,57,0,0,0,0,0,57,57,0,0,0,0,0,0,0
