id,name,admin,str,on_off,dest_id,dest_ac,sou1_id,sou1_ac,sou2_id,sou2_ac,type,reuse_plan,div_type,opr_loss,limit,io_beg,io_end,reservoir_id
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TARCOMCO.15b,TARCOMCOtoStrontiaSprMAY,23152.15649,-15,1,0803983,2,2302906_Pln,100,SpinDRF_16,2,27,AurStronPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302906_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TARCOMCO.15c,TARCOMCOtoStrontiaSprJUN,23152.15649,-15,1,0803983,2,2302906_Pln,100,SpinDRF_16,2,27,AurStronPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302906_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TARCOMCO.15d,TARCOMCOtoStrontiaSprJUL,23152.15649,-15,1,0803983,2,2302906_Pln,100,SpinDRF_13,2,27,AurStronPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302906_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TARCOMCO.15e,TARCOMCOtoStrontiaSprAUG,23152.15649,-15,1,0803983,2,2302906_Pln,100,SpinDRF_04,2,27,AurStronPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302906_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TARCOMCO.15f,TARCOMCOtoStrontiaSprSEP,23152.15649,-15,1,0803983,2,2302906_Pln,100,SpinDRF_03,2,27,AurStronPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302906_Pln-100
0 0 0 0 0 0,0 0 1 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.09a,MCHJEFCOtoAuroraIN APR,23152.15646,-15,1,08_Aurora_I,1,2302907_Pln,100,SpinDRF_07,2,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.09b,MCHJEFCOtoAuroraIN MAY,23152.15646,-15,1,08_Aurora_I,1,2302907_Pln,100,SpinDRF_16,2,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.09c,MCHJEFCOtoAuroraIN JUN,23152.15646,-15,1,08_Aurora_I,1,2302907_Pln,100,SpinDRF_16,2,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.09d,MCHJEFCOtoAuroraIN JUL,23152.15646,-15,1,08_Aurora_I,1,2302907_Pln,100,SpinDRF_13,2,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.09e,MCHJEFCOtoAuroraIN AUG,23152.15646,-15,1,08_Aurora_I,1,2302907_Pln,100,SpinDRF_04,2,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.09f,MCHJEFCOtoAuroraIN SEP,23152.15646,-15,1,08_Aurora_I,1,2302907_Pln,100,SpinDRF_03,2,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 0 0,0 0 1 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.10a,MCHJEFCOtoAuroraOUT APR,23152.15647,-15,1,08_Aurora_O,1,2302907_Pln,100,SpinDRF_07,2,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.10b,MCHJEFCOtoAuroraOUT MAY,23152.15647,-15,1,08_Aurora_O,1,2302907_Pln,100,SpinDRF_16,2,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.10c,MCHJEFCOtoAuroraOUT JUN,23152.15647,-15,1,08_Aurora_O,1,2302907_Pln,100,SpinDRF_16,2,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.10d,MCHJEFCOtoAuroraOUT JUL,23152.15647,-15,1,08_Aurora_O,1,2302907_Pln,100,SpinDRF_13,2,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 93 84,84 87 96 97 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
MCHJEFCO.10e,MCHJEFCOtoAuroraOUT AUG,23152.15647,-15,1,08_Aurora_O,1,2302907_Pln,100,SpinDRF_04,2,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302907_Pln-100
